id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,bitflag
1610,доконьчати,V-,доконьчаті,2,,,,marianus,,,,vit-meth_4_removed,,136
1611,скръбѣти,V-,скръбѣті,17,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1612,сътѧжаниѥ,Nb,сътѧжаніе,4,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1613,неоудобь,Df,неоудобь,10,,,,marianus,,,,,zogr_complete,264
1614,богатъ,A-,богатъ,75,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1615,вельбѫдъ,Nb,вельбѫдъ,13,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1616,игълинъ,A-,ігълінъ,5,,,,marianus,,,,,zogr_complete,264
1617,проити,V-,проіті,29,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,vit-meth_4_removed,zogr_complete,440
1618,възможьнъ,A-,възможьнъ,21,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1619,пакꙑбꙑтиѥ,Nb,пакъібъітіе,1,,,,marianus,,,,,,8
1620,колѣно,Nb,колѣно,44,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1621,съторицеѭ,Df,съторіцеѭ,4,,,,marianus,,,,,zogr_complete,264
1622,наслѣдити,V-,наслѣдіті,12,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1623,наѩти,V-,наѧті,3,,,,marianus,,supr_y_fixed,,,,40
1624,шестъ,Mo,шестъ,33,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1625,девѧтъ,Mo,девѧтъ,15,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1626,вечеръ,Nb,вечеръ,25,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1627,приставьникъ,Nb,пріставьнікъ,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1628,вѧще,Df,вѧште,11,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1629,ръпътати,V-,ръпътаті,12,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1630,равьнъ,A-,равьнъ,17,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1631,тѧгота,Nb,тѧгота,1,,,,marianus,,,,,,8
1632,варъ,Nb,варъ,4,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1633,обидѣти,V-,обідѣті,20,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1634,или,G-,ілі,1,,,,marianus,,,,,,8
1635,лѣть,Nb,лѣть,10,,,,marianus,,supr_y_fixed,vit-const,,,104
1636,въсходити,V-,въсходіті,39,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,vit-meth_4_removed,zogr_complete,440
1637,порѫганиѥ,Nb,порѫганіе,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1638,биѥниѥ,Nb,біеніе,3,,,,marianus,,supr_y_fixed,,,,40
1639,пропѧтиѥ,Nb,пропѧтіе,5,,,,marianus,,,,,zogr_complete,264
1640,зеведеовъ,A-,зеведеовъ,15,,,,marianus,,,,,zogr_complete,264
1641,нѣчьто,Px,нѣчьто,21,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1642,шоуи,A-,шоуі,12,,,,marianus,,,,,zogr_complete,264
1643,крьщениѥ,Nb,крьштеніе,47,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,488
1644,крьщати,V-,крьштаті,19,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1645,испити,V-,іспіті,7,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1646,десѧть,Nb,десѧть,2,,,,marianus,,,,vit-meth_4_removed,,136
1647,негодовати,V-,негодоваті,17,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1648,оустоꙗти,V-,оустоѣті,7,,,,marianus,,,,,zogr_complete,264
1649,обладати,V-,обладаті,19,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1650,вѧщии,A-,вѧштіі,13,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1651,прѣдьнь,A-,прѣдьнь,11,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1652,послоужити,V-,послоужіті,17,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1653,иѥрихонъ,Ne,іеріхонъ,3,,,,marianus,,,,,zogr_complete,264
1654,мимоходити,V-,мімоходіті,23,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1655,оумльчати,V-,оумльчаті,26,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1656,прозьрѣти,V-,прозьрѣті,26,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,vit-meth_4_removed,zogr_complete,440
1657,витъфагии,Ne,вітъфагіі,5,,,,marianus,,,,,zogr_complete,264
1658,елеоньскъ,A-,елеоньскъ,15,,,,marianus,,,,,zogr_complete,264
1659,прѣмо,R-,прѣмо,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1660,осьлѧ,Nb,осьлѧ,11,,,,marianus,,supr_y_fixed,,,,40
1661,привѧзати,V-,прівѧзаті,17,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1662,жрѣбѧ,Nb,жрѣбѧ,21,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1663,отрѣшити,V-,отрѣшіті,21,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1664,сионовъ,A-,сіоновъ,4,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1665,въсѣсти,V-,въсѣсті,22,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1666,ꙗрьмьничь,A-,ѣрьмьнічь,2,,,,marianus,,,vit-const,,,72
1667,врьхоу,R-,врьхоу,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1668,постьлати,V-,постьлаті,6,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1669,рѣзати,V-,рѣзаті,3,,,,marianus,,,,,zogr_complete,264
1670,вѣтвиѥ,Nb,вѣтвіе,2,,,,marianus,,,,,,8
1671,постилати,V-,постілаті,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1672,осана,I-,осана,17,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1673,благословлѥнъ,A-,благословленъ,58,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1674,господьнь,A-,господьнь,259,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1675,потрѧсти,V-,потрѧсті,7,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1676,назаретъ,Ne,назаретъ,15,,,,marianus,,,,,zogr_complete,264
1677,тръжьникъ,Nb,тръжьнікъ,6,,,,marianus,,,,,zogr_complete,264
1678,испроврѣщи,V-,іспроврѣшті,5,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1679,сѣдалище,Nb,сѣдаліште,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1680,врьтъпъ,Nb,врьтъпъ,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1681,разбоиникъ,Nb,разбоінікъ,60,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1682,чоудо,Nb,чоудо,151,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1683,младьньчь,A-,младьньчь,2,,,,marianus,psal-sin_sentence_removed,,,,,24
1684,съсати,V-,съсаті,15,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1685,витаниꙗ,Ne,вітаніѣ,25,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1686,въдворити,V-,въдворіті,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1687,смокъвьница,Nb,смокъвьніца,24,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1688,листвиѥ,Nb,ліствіе,19,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1689,исъхати,V-,ісъхаті,5,,,,marianus,psal-sin_sentence_removed,,,,,24
1690,оусъхнѫти,V-,оусъхнѫті,12,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1691,смокъвьничьнъ,A-,смокъвьнічьнъ,1,,,,marianus,,,,,,8
1692,двигнѫти,V-,двігнѫті,19,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1693,людьскъ,A-,людьскъ,15,,,,marianus,psal-sin_sentence_removed,,vit-const,,zogr_complete,344
1694,область,Nb,область,42,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,vit-meth_4_removed,zogr_complete,440
1695,послѣдь,Df,послѣдь,20,,,,marianus,,,vit-const,,zogr_complete,328
1696,раскаꙗти,V-,раскаѣті,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1697,отьчь,A-,отьчь,27,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1698,любодѣица,Nb,любодѣіца,5,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1699,варꙗти,V-,варѣті,15,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1700,оплотъ,Nb,оплотъ,5,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1701,ископати,V-,іскопаті,16,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1702,точило,Nb,точіло,6,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1703,стлъпъ,Nb,стлъпъ,18,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1704,въдати,V-,въдаті,36,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1705,бити,V-,біті,97,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1706,побити,V-,побіті,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1707,тожде,Df,тожде,8,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1708,оусрамлꙗти,V-,оусрамлѣті,6,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1709,оудрьжати,V-,оудрьжаті,26,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1710,достоꙗниѥ,Nb,достоѣніе,33,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1711,неврѣдъ,Nb,неврѣдъ,6,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1712,зьдати,V-,зьдаті,32,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1713,дивьнъ,A-,дівьнъ,39,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1714,сътрьти,V-,сътрьті,15,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1715,обѣдъ,Nb,обѣдъ,16,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1716,оуготовати,V-,оуготоваті,88,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1717,юньць,Nb,юньць,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1718,оупитѣнъ,A-,оупітѣнъ,5,,,,marianus,,,,,zogr_complete,264
1719,исклати,V-,ісклаті,1,,,,marianus,,,,,,8
1720,готовъ,A-,готовъ,44,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1721,коуплꙗ,Nb,коуплѣ,8,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1722,прочь,A-,прочь,52,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,488
1723,досадити,V-,досадіті,6,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1724,избити,V-,ізбіті,19,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1725,разгнѣвати,V-,разгнѣваті,45,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1726,вои,Nb,воі,23,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,488
1727,оубиица,Nb,оубііца,2,,,,marianus,,supr_y_fixed,,,,40
1728,зажещи,V-,зажешті,1,,,,marianus,,,,,,8
1729,исходище,Nb,ісходіште,6,,,,marianus,psal-sin_sentence_removed,,,,,24
1730,одѣꙗниѥ,Nb,одѣѣніе,4,,,,marianus,,supr_y_fixed,,,,40
1731,обльстити,V-,обльстіті,3,,,,marianus,,,,,zogr_complete,264
1732,посꙑлати,V-,посъілаті,12,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1733,иродиꙗне,Nb,іродіѣне,5,,,,marianus,,,,,zogr_complete,264
1734,кесарь,Nb,кесарь,23,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1735,окоушати,V-,окоушаті,7,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1736,скълѧѕь,Nb,скълѧзь,1,,,,marianus,,,,,,8
1737,кинъсьнъ,A-,кінъсьнъ,1,,,,marianus,,,,,,8
1738,чии,Pi,чіі,9,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1739,напьсаниѥ,Nb,напьсаніе,17,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1740,кесаровъ,A-,кесаровъ,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1741,кесарѥвъ,A-,кесаревъ,2,,,,marianus,,,,,,8
1742,въскрѣшениѥ,Nb,въскрѣшеніе,42,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1743,оженити,V-,оженіті,7,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1744,въторъ,Mo,въторъ,27,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1745,седмъ,Mo,седмъ,5,,,,marianus,,supr_y_fixed,vit-const,,,104
1746,послѣжде,R-,послѣжде,4,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1747,которꙑи,Pi,которъіі,27,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1748,блѫдити,V-,блѫдіті,9,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1749,посагати,V-,посагаті,11,,,,marianus,,,,,zogr_complete,264
1750,авраамль,A-,авраамль,21,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1751,исааковъ,A-,ісааковъ,6,,,,marianus,,,,,zogr_complete,264
1752,иꙗковль,A-,іѣковль,44,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1753,срамити,V-,сраміті,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,,120
1754,въкоупѣ,Df,въкоупѣ,62,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1755,законооучитель,Nb,законооучітель,3,,,,marianus,,,,,zogr_complete,264
1756,висѣти,V-,вісѣті,10,,,,marianus,,supr_y_fixed,,,,40
1757,съмѣти,V-,съмѣті,14,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1758,мосеовъ,A-,мосеовъ,15,,,,marianus,psal-sin_sentence_removed,,vit-const,,zogr_complete,344
1759,съблюдати,V-,съблюдаті,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1760,тѧжькъ,A-,тѧжькъ,17,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,,120
1761,възлагати,V-,възлагаті,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1762,плеще,Nb,плеште,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1763,прьстъ,Nb,прьстъ,36,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1764,раширꙗти,V-,рашірѣті,1,,,,marianus,,,,,,8
1765,хранилище,Nb,храніліште,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1766,величати,V-,велічаті,15,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1767,подъметъ,Nb,подъметъ,1,,,,marianus,,,,,,8
1768,прѣждевъзлѣганиѥ,Nb,прѣждевъзлѣганіе,1,,,,marianus,,,,,,8
1769,вечерꙗ,Nb,вечерѣ,19,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1770,прѣждесѣданиѥ,Nb,прѣждесѣданіе,3,,,,marianus,,,,,zogr_complete,264
1771,цѣлованиѥ,Nb,цѣлованіе,17,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1772,равви,Nb,равві,21,,,,marianus,,,,,zogr_complete,264
1773,наставьникъ,Nb,наставьнікъ,20,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1774,съмѣрꙗти,V-,съмѣрѣті,8,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1775,сънѣдати,V-,сънѣдаті,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1776,вьдовица,Nb,вьдовіца,24,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,vit-meth_4_removed,zogr_complete,440
1777,осѫждениѥ,Nb,осѫжденіе,16,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1778,затварꙗти,V-,затварѣті,3,,,,marianus,,supr_y_fixed,,,,40
1779,соуша,Nb,соуша,3,,,,marianus,psal-sin_sentence_removed,,,,,24
1780,пришьльць,Nb,прішьльць,8,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1781,соугоубъ,A-,соугоубъ,8,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,,232
1782,црькъвьнъ,A-,црькъвьнъ,38,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,488
1783,свѧщати,V-,свѧштаті,2,,,,marianus,,,,vit-meth_4_removed,,136
1784,отъдесѧтьствовати,V-,отъдесѧтьствоваті,1,,,,marianus,,,,,,8
1785,мѧта,Nb,мѧта,3,,,,marianus,,,,,zogr_complete,264
1786,копръ,Nb,копръ,1,,,,marianus,,,,,,8
1787,кѵминъ,Nb,кумінъ,1,,,,marianus,,,,,,8
1788,оцѣждати,V-,оцѣждаті,1,,,,marianus,,,,,,8
1789,мъшица,Nb,мъшіца,2,,,,marianus,psal-sin_sentence_removed,,,,,24
1790,поглъщати,V-,поглъштаті,1,,,,marianus,,,,,,8
1791,вънѣщьнь,A-,вънѣштьнь,14,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1792,стькльница,Nb,стькльніца,3,,,,marianus,,,,,,8
1793,паропсида,Nb,паропсіда,2,,,,marianus,,,,,,8
1794,ѫтрьѭдоу,Df,ѫтрьѭдоу,1,,,,marianus,,,,,,8
1795,пльнъ,A-,пльнъ,24,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1796,хꙑщениѥ,Nb,хъіштеніе,3,,,,marianus,,,,,zogr_complete,264
1797,нечистота,Nb,нечістота,2,,,,marianus,,,,,,8
1798,чисто,Df,чісто,6,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1799,гробъ,Nb,гробъ,147,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1800,повапьнити,V-,повапьніті,1,,,,marianus,,,,,,8
1801,вънѣѭдоу,Df,вънѣѭдоу,3,,,,marianus,,,vit-const,,,72
1802,красьнъ,A-,красьнъ,16,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,,120
1803,вънѫтрьѭдоу,Df,вънѫтрьѭдоу,6,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1804,кость,Nb,кость,35,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,,56
1805,лицемѣриѥ,Nb,ліцемѣріе,5,,,,marianus,,,,,zogr_complete,264
1806,пророчьскъ,A-,пророчьскъ,14,,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,488
1807,красити,V-,красіті,5,,,,marianus,,supr_y_fixed,,,,40
1808,рака,Nb,рака,6,,,,marianus,,supr_y_fixed,vit-const,,,104
1809,обьщьникъ,Nb,обьштьнікъ,8,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1810,съвѣдѣтельствовати,V-,съвѣдѣтельствоваті,67,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1811,оубѣжати,V-,оубѣжаті,17,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1812,геоньскъ,A-,геоньскъ,3,,,,marianus,,supr_y_fixed,,,,40
1813,пропѧти,V-,пропѧті,56,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1814,проливати,V-,проліваті,10,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1815,авелъ,Ne,авелъ,7,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1816,захариꙗ,Ne,захаріѣ,27,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1817,варахиинъ,A-,варахіінъ,1,,,,marianus,,,,,,8
1818,побивати,V-,побіваті,4,,,,marianus,,supr_y_fixed,,,,40
1819,кокошь,Nb,кокошь,2,,,,marianus,,,,,,8
1820,пътеньць,Nb,пътеньць,5,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1821,крило,Nb,кріло,18,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1822,зьданиѥ,Nb,зьданіе,12,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1823,когда,Du,когда,38,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1824,пришьствиѥ,Nb,прішьствіе,30,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1825,коньчаниѥ,Nb,коньчаніе,2,,,,marianus,,,,,zogr_complete,264
1826,прѣльстити,V-,прѣльстіті,35,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1827,брань,Nb,брань,33,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1828,слꙑшаниѥ,Nb,слъішаніе,5,,,,marianus,,supr_y_fixed,,,,40
1829,оужасати,V-,оужасаті,22,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1830,гладъ,Nb,гладъ,21,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1831,начѧло,Nb,начѧло,22,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1832,скръбь,Nb,скръбь,37,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1833,дроугъ,Pc,дроугъ,132,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1834,оумъножениѥ,Nb,оумъноженіе,5,,,,marianus,psal-sin_sentence_removed,,,,,24
1835,исѧкнѫти,V-,ісѧкнѫті,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1836,съвѣдѣтельство,Nb,съвѣдѣтельство,33,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1837,мрьзость,Nb,мрьзость,8,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1838,запоустѣниѥ,Nb,запоустѣніе,6,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1839,данилъ,Ne,данілъ,5,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1840,июдеꙗ,Ne,іюдеѣ,26,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1841,сълазити,V-,сълазіті,5,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1842,въспѧть,Df,въспѧть,29,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1843,непраздьнъ,A-,непраздьнъ,7,,,,marianus,,,,,zogr_complete,264
1844,доити#1,V-,доіті#1,9,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1845,бѣство,Nb,бѣство,5,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1846,зима,Nb,зіма,11,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1847,прѣкратити,V-,прѣкратіті,8,,,,marianus,,,,,zogr_complete,264
1848,мльнии,Nb,мльніі,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1849,троупъ,Nb,троупъ,6,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1850,орьлъ,Nb,орьлъ,7,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1851,мрькнѫти,V-,мрькнѫті,4,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
1852,лоуна,Nb,лоуна,14,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1853,ѕвѣзда,Nb,звѣзда,22,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1854,съпасти#2,V-,съпасті#2,8,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,,168
1855,въсплакати,V-,въсплакаті,12,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,,,zogr_complete,312
1856,трѫбьнъ,A-,трѫбьнъ,6,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1857,вѣиѥ,Nb,вѣіе,11,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1858,младъ,A-,младъ,20,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1859,мимоити,V-,мімоіті,36,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1860,ноевъ,A-,ноевъ,6,,,,marianus,,,vit-const,,zogr_complete,328
1861,ное,Ne,ное,9,,,,marianus,,supr_y_fixed,vit-const,,zogr_complete,360
1862,ковьчегъ,Nb,ковьчегъ,11,,,,marianus,,supr_y_fixed,,vit-meth_4_removed,zogr_complete,424
1863,ощоутити,V-,оштоутіті,8,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1864,млѣти,V-,млѣті,6,,,,marianus,,supr_y_fixed,,,zogr_complete,296
1865,бъдѣти,V-,бъдѣті,38,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1866,подърꙑти,V-,подъръіті,2,,,,marianus,,,,,zogr_complete,264
1867,вѣрьнъ,A-,вѣрьнъ,72,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1868,къснѣти,V-,къснѣті,4,,,,marianus,,,,,,8
1869,пиꙗница,Nb,піѣніца,2,,,,marianus,,supr_y_fixed,,,,40
1870,протесати,V-,протесаті,3,,,,marianus,,,,,zogr_complete,264
1871,чѧсть,Nb,чѧсть,31,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,376
1872,противѫ,Df,протівѫ,12,,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,504
1873,олѣи,Nb,олѣі,22,,,,marianus,psal-sin_sentence_removed,,,,zogr_complete,280
