іюдѫ,-s---ma--i
сімонова,-s---ogpsi
іскаріота,-s---mg--i
сь,-s---mn--i
бо,---------n
хотѣаше,3siia----i
прѣдаті,--pna----i
і,3s---ma--i
едінъ,-s---mn--i
съі,-sppamn-si
отъ,---------n
обою,-d---mg--i
на,---------n
десѧте,-s---pl--i
і,---------n
хождааше,3siia----i
съ,---------n
німі,3p---mi--i
іс,-s---mn--i
въ,---------n
галілеі,-s---fl--i
не,---------n
хотѣаше,3siia----i
бо,---------n
въ,---------n
іюдѣі,-p---mn--i
ходіті,--pna----i
ѣко,---------n
іскаахѫ,3piia----i
его,3s---mg--i
іюдеі,-p---mn--i
оубіті,--pna----i
бѣ,3siia----i
же,---------n
блізъ,---------n
праздьнікъ,-s---mn--i
іюдеіскъ,-s---mnpsi
скінопігіѣ,-s---fn--i
рѣшѧ,3paia----i
же,---------n
къ,---------n
немоу,3s---md--i
братріѣ,-s---fn--i
его,3s---mg--i
прѣіді,2spma----i
отъсѫдоу,---------n
і,---------n
іді,2spma----i
въ,---------n
іюдеѧ,-s---fg--i
до,---------n
і,---------n
оученіці,-p---mn--i
твоі,2p---mn--i
відѧтъ,3ppia----i
дѣла,-p---na--i
твоѣ,2p---na--i
ѣже,-p---na--i
творіші,2spia----i
нікътоже,-s---qn--i
бо,---------n
въ,---------n
таінѣ,-s---fl--i
нічесоже,-s---ng--i
творітъ,3spia----i
і,---------n
іштетъ,3spia----i
самъ,-s---mn--i
ѣвѣ,---------n
бъіті,--pna----i
аште,---------n
сі,-p---na--i
всѣ,-p---na--i
творіші,2spia----i
ѣві,2spma----i
сѧ,3s---qa--i
вьсемоу,-s---od--i
міроу,-s---md--i
ні,---------n
братіѣ,-s---fn--i
бо,---------n
вѣровахѫ,3piia----i
вь,---------n
него,3s---mg--i
гла,3saia----i
же,---------n
імъ,3p---md--i
іс,-s---mn--i
врѣмѧ,-s---nn--i
мое,1s---nn--i
не,---------n
оу,---------n
пріде,3saia----i
а,---------n
врѣмѧ,-s---nn--i
ваше,2s---nn--i
вьсегда,---------n
готово,-s---nnpsi
естъ,3spia----i
не,---------n
можетъ,3spia----i
міръ,-s---mn--i
ненавідѣті,--pna----i
васъ,2p---qg--i
мене,1s---qg--i
же,---------n
ненавідітъ,3spia----i
ѣко,---------n
азъ,1s---qn--i
съвѣдѣтельствоуѭ,1spia----i
о,---------n
немь,3s---ml--i
ѣко,---------n
дѣла,-p---nn--i
его,3s---mg--i
зъла,-p---nnpsi
сѫтъ,3ppia----i
въі,2p---qn--i
вьзідѣте,2ppma----i
въ,---------n
праздьнікось,-s---mn--i
азъ,1s---mn--i
не,---------n
вьзідѫ,1spia----i
въ,---------n
праздьнікъ,-s---ma--i
сь,-s---ma--i
ѣко,---------n
врѣмѧ,-s---na--i
мое,1s---na--i
не,---------n
ісплъні,3saia----i
сѧ,3s---qa--i
сі,-p---na--i
рекъ,-supamn-si
самъ,-s---mn--i
оста,3saia----i
въ,---------n
галілеі,-s---fl--i
егда,---------n
же,---------n
вьзідѫ,3paia----i
братріѣ,-s---fn--i
его,3s---mg--i
въ,---------n
праздьнікъ,-s---ma--i
тогда,---------n
і,---------n
самъ,-s---mn--i
вьзіде,3saia----i
не,---------n
ѣвѣ,---------n
нъ,---------n
ако,---------n
таі,---------n
іюдеі,-p---mn--i
же,---------n
его,3s---mg--i
іскахѫ,3piia----i
въ,---------n
праздьнікъ,-s---ma--i
і,---------n
глахѫ,3piia----i
къде,---------n
естъ,3spia----i
онъ,-s---mn--i
і,---------n
ръпътъ,-p---mg--i
мъногъ,-p---qgpsi
бѣ,3siia----i
о,---------n
немь,3s---ml--i
въ,---------n
народѣхъ,-p---ml--i
ові,-p---mn--i
глахѫ,3piia----i
ѣко,---------n
благъ,-s---mnpsi
естъ,3spia----i
іні,-p---mn--i
же,---------n
глахѫ,3piia----i
ні,---------n
нъ,---------n
льстітъ,3spia----i
народъі,-p---ma--i
нікотеръіже,-s---mn--i
оубо,---------n
ѣвѣ,---------n
глаше,3siia----i
о,---------n
немь,3s---ml--i
страха,-s---mg--i
раді,---------n
іюдеіска,-s---mgpsi
абіе,---------n
же,---------n
въ,---------n
прѣполовленіе,-s---na--i
праздьніка,-s---mg--i
вьзіде,3saia----i
іс,-s---mn--i
въ,---------n
цръкъве,-s---fl--i
і,---------n
оучааше,3siia----i
і,---------n
дівлѣахѫ,3piia----i
сѧ,3s---qa--i
іюдеі,-p---mn--i
глѭште,-pppamn-si
како,---------n
сь,-s---mn--i
кънігъі,-p---fa--i
оумѣетъ,3spia----i
не,---------n
оучь,-supamn-si
сѧ,3s---qa--i
отъвѣшта,3saia----i
же,---------n
іс,-s---mn--i
і,---------n
рече,3saia----i
імъ,3p---md--i
мое,1s---nn--i
оученіе,-s---nn--i
нѣстъ,3spia----i
мое,1s---nn--i
нъ,---------n
посълавъшаего,-supamg-wi
мѧ,1s---qa--i
аште,---------n
къто,-s---qn--i
хоштетъ,3spia----i
волѭ,-s---fa--i
его,3s---mg--i
творіті,--pna----i
разоумѣетъ,3spia----i
о,---------n
оучені,-s---nl--i
кое,-s---nn--i
отъ,---------n
ба,-s---mg--i
естъ,3spia----i
лі,---------n
азъ,1s---qn--i
себѣ,3s---ql--i
глѭ,1spia----i
глѧі,-sppamn-wi
о,---------n
себѣ,3s---ql--i
славъі,-s---fg--i
своеѧ,3s---fg--i
іштетъ,3spia----i
а,---------n
іштѧі,-sppamn-wi
славъі,-s---fg--i
посълавъшаего,-supamg-wi
і,3s---ma--i
сь,-s---mn--i
істіненъ,-s---mnpsi
естъ,3spia----i
і,---------n
нѣстъ,3spia----i
неправъдъі,-s---fg--i
вь,---------n
немь,3s---ml--i
не,---------n
мосі,-s---mn--i
лі,---------n
дастъ,3saia----i
вамъ,2p---qd--i
законъ,-s---ma--i
і,---------n
нікътозе,3saia----i
отъ,---------n
васъ,2p---qg--i
творітъ,3spia----i
закона,-s---mg--i
чьто,-s---na--i
мене,1s---qg--i
іштете,2ppia----i
оубіті,--pna----i
отъвѣшта,3saia----i
народъ,-s---mn--i
і,---------n
рече,3saia----i
бѣсъ,-s---mn--i
лі,---------n
імаші,2spia----i
къто,-s---qn--i
тебе,2s---qg--i
іштетъ,3spia----i
оубіті,--pna----i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
імъ,3p---md--i
едіно,-s---na--i
дѣло,-s---na--i
сътворіхъ,1saia----i
і,---------n
вьсі,-p---mn--i
дівіте,2ppia----i
сѧ,3s---qa--i
сего,-s---ng--i
раді,---------n
дастъ,3spia----i
вамъ,2p---qd--i
мосі,-s---mn--i
обрѣзаніе,-s---na--i
не,---------n
ѣко,---------n
отъ,---------n
мосѣа,-s---mg--i
естъ,3spia----i
нъ,---------n
отъ,---------n
оць,-s---mn--i
і,---------n
въ,---------n
сѫботѫ,-s---fa--i
обрѣзаете,2ppia----i
чка,-s---mg--i
аште,---------n
обрѣзаніе,-s---na--i
пріемлетъ,3spia----i
чкъ,-s---mn--i
въ,---------n
сѫботѫ,-s---fa--i
да,---------n
не,---------n
разорітъ,3spia----i
сѧ,3s---qa--i
законъ,-s---mn--i
мосѣовъ,-s---mnpsi
на,---------n
мѧ,1s---qa--i
лі,---------n
гнѣваете,2ppia----i
сѧ,3s---qa--i
ѣко,---------n
вьсего,-s---og--i
чка,-s---mg--i
съдрава,-s---ogpsi
сътворіхъ,1saia----i
въ,---------n
сѫботѫ,-s---fa--i
не,---------n
сѫдіте,2ppia----i
на,---------n
ліца,-s---ng--i
нъ,---------n
правьдьнъі,-s---mapwi
сѫдъ,-s---ma--i
сѫдіте,2ppma----i
глахѫ,3piia----i
же,---------n
етеріі,-p---mn--i
отъ,---------n
іілмлѣнъ,-p---mg--i
не,---------n
сь,-s---mn--i
лі,---------n
естъ,3spia----i
егоже,-s---mg--i
іштѫтъ,3ppia----i
оубіті,--pna----i
і,---------n
се,-s---na--i
не,---------n
обіноуѧ,-sppamn-si
сѧ,3s---qa--i
глетъ,3spia----i
і,---------n
нічесоже,-s---ng--i
емоу,3s---md--i
не,---------n
глѭтъ,3ppia----i
еда,---------n
како,---------n
разоумѣшѧ,3paia----i
кънѧзі,-p---mn--i
ѣко,---------n
сь,-s---mn--i
естъ,3spia----i
хъ,-s---mn--i
нъ,---------n
сего,-s---ng--i
вѣмъ,1ppia----i
отъкѫдоу,---------n
сь,-s---mn--i
естъ,3spia----i
а,---------n
хъ,-s---mn--i
егда,---------n
прідетъ,3spia----i
нікътоже,-s---pn--i
не,---------n
вѣстъ,3spia----i
отъкѫдоу,---------n
естъ,3spia----i
възъва,3saia----i
же,---------n
въ,---------n
цръкъве,-s---fl--i
оучѧ,-sppamn-si
іс,-s---mn--i
і,---------n
глѧ,-sppamn-si
і,---------n
мене,1s---qg--i
вѣсте,2ppia----i
і,---------n
вѣсте,2ppia----i
отъ,---------n
кѫдоу,---------n
есмь,1spia----i
і,---------n
о,---------n
себѣ,3s---ql--i
не,---------n
прідъ,1saia----i
нъ,---------n
естъ,3spia----i
істіньнъ,-s---mnpsi
посълавъі,-supamn-wi
мѧ,1s---qa--i
егоже,-s---mg--i
въі,2p---qn--i
не,---------n
вѣсте,2ppia----i
азъ,1s---qn--i
і,3s---ma--i
вѣмь,1spia----i
ко,---------n
отъ,---------n
него,3s---mg--i
есмь,1spia----i
і,---------n
тъ,-s---mn--i
мѧ,1s---qa--i
посъла,3saia----i
іскахѫ,3piia----i
же,---------n
ѧті,--pna----i
і,---------n
і,---------n
нікътоже,-s---pn--i
не,---------n
възложі,3saia----i
рѫкъі,-p---fa--i
на,---------n
нь,3s---ma--i
ѣко,---------n
не,---------n
ю,---------n
бѣ,3siia----i
прішьлъ,-sspamn-si
годъ,-s---ma--i
его,3s---ng--i
отъ,---------n
народа,-s---mg--i
же,---------n
мнозі,-p---mnpsi
вѣровашѧ,3paia----i
въ,---------n
нь,3s---ma--i
і,---------n
глахѫ,3piia----i
ѣко,---------n
хъ,-s---mn--i
егда,---------n
прідетъ,3spia----i
еда,---------n
больша,-p---nacsi
знаменіѣ,-p---na--i
сътворітъ,3spia----i
ѣже,-p---na--i
естъ,3spia----i
сътворілъ,-sspamn-si
слъішашѧ,3paia----i
же,---------n
фарісѣі,-p---mn--i
народъ,-s---ma--i
ръпъштѫшть,-sppama-si
о,---------n
немь,3s---ml--i
се,---------n
і,---------n
посълашѧ,3paia----i
архіереі,-p---mn--i
слоугъі,-p---mn--i
да,---------n
імѫтъ,3ppia----i
і,---------n
рече,3saia----i
же,---------n
іс,-s---mn--i
еште,---------n
мало,-s---napsi
врѣмѧ,-s---na--i
съ,---------n
вамі,2p---qi--i
есмь,1spia----i
і,---------n
ідѫ,1spia----i
къ,---------n
посълавъшоуемоу,-s---mdpwi
мѧ,1s---qa--i
поіштете,2ppia----i
мене,1s---qg--i
і,---------n
не,---------n
обрѧштете,2ppia----i
ідеже,---------n
есмь,1spia----i
азъ,1s---qn--i
въі,2p---qn--i
не,---------n
можете,2ppia----i
пріті,--pna----i
рѣшѧ,3paia----i
же,---------n
іюдеі,-p---mn--i
къ,---------n
себѣ,3s---qd--i
самі,-p---mn--i
камо,---------n
хоштетъ,3spia----i
іті,--pna----i
і,---------n
оучіті,--pna----i
елінъі,-p---ma--i
чьто,-s---nn--i
естъ,3spia----i
слово,-s---nn--i
се,-s---nn--i
еже,-s---nn--i
рече,3saia----i
вьзіштете,2ppia----i
мене,1s---qg--i
і,---------n
не,---------n
обрѧштете,2ppia----i
і,---------n
ідеже,---------n
есмь,1spia----i
азъ,1s---qn--i
въі,2p---qn--i
не,---------n
можете,2ppia----i
пріті,--pna----i
въ,---------n
послѣдьні,-s---mapti
же,---------n
дьнь,-s---ma--i
велікъі,-s---mapwi
праздьнікъ,-s---ma--i
стоѣаше,3siia----i
іс,-s---mn--i
і,---------n
зъваше,3siia----i
глѧ,-sppamn-si
аште,---------n
къто,-s---qn--i
жѧждетъ,3spia----i
да,---------n
прідетъ,3spia----i
къ,---------n
мьнѣ,1s---ql--i
і,---------n
піетъ,3spia----i
і,---------n
вѣроуѧі,-sppamn-wi
въ,---------n
мѧ,1s---qa--i
ѣкоже,---------n
кънігъі,-p---fn--i
рѣшѧ,3paia----i
рѣкъі,-p---fn--i
отъ,---------n
чрѣва,-s---ng--i
его,3s---mg--i
істекѫтъ,3ppia----i
водъі,-p---fn--i
жівъі,-sppamn-wi
се,-s---na--i
же,---------n
рече,3saia----i
о,---------n
дсѣ,-s---ml--i
іже,-s---ma--i
хотѣхѫ,3piia----i
пріематі,--pna----i
вѣроуѭштеі,-pppamn-wi
вь,---------n
него,3s---mg--i
не,---------n
ю,3s---fa--i
бо,---------n
бѣ,3siia----i
дхъ,-s---mn--i
стъі,-s---mnpwi
данъ,-suppmn-si
ѣко,---------n
іс,-s---mn--i
не,---------n
ю,---------n
бѣ,3siia----i
прославленъ,-suppmn-si
мнозі,-p---mnpsi
же,---------n
отъ,---------n
народа,-s---mg--i
слъішавъше,-pupamn-si
словеса,-p---na--i
сі,-p---na--i
глахѫ,3piia----i
сь,-s---mn--i
естъ,3spia----i
въ,---------n
істінѫ,-s---fa--i
пророкъ,-p---mg--i
дроузі,-p---mn--i
же,---------n
глахѫ,3piia----i
сь,-s---mn--i
естъ,3spia----i
хъ,-s---mn--i
ові,-p---mn--i
же,---------n
глахѫ,3piia----i
еда,---------n
отъ,---------n
галілеѧ,-s---fg--i
хъ,-s---mn--i
прідетъ,3spia----i
не,---------n
кънігъі,-p---fn--i
лі,---------n
рѣшѧ,3paia----i
ѣко,---------n
отъ,---------n
сѣмене,-s---ng--i
дава,-s---ngpsi
і,---------n
отъ,---------n
вітьлеомьскаго,-s---mgpwi
градьца,-s---mn--i
ідеже,---------n
бѣ,3siia----i
дадъ,-s---mn--i
прідетъ,3spia----i
хъ,-s---mn--i
распьрѣ,-s---fn--i
же,---------n
бъіс,3saia----i
въ,---------n
народѣ,-s---ml--i
его,3s---mg--i
раді,---------n
етеріі,-p---mn--i
же,---------n
отъ,---------n
ніхъ,3p---mg--i
хотѣахѫ,3piia----i
ѧті,-puppmn-si
і,---------n
нъ,---------n
нікътоже,-s---qn--i
не,---------n
възложі,3spma----i
на,---------n
нь,3s---ma--i
рѫкоу,-d---fg--i
прідѫ,3paia----i
же,---------n
слоугъі,-p---mn--i
къ,---------n
архіереомъ,-p---md--i
і,---------n
фарісеомъ,-p---md--i
і,---------n
рѣшѧ,3paia----i
імъ,3p---md--i
ті,-p---mn--i
по,---------n
чьто,-s---na--i
не,---------n
прівѣсте,3daia----i
его,3s---mg--i
отъвѣшташѧ,3paia----i
слоугъі,-p---mn--i
ніколіже,---------n
тако,---------n
естъ,3spia----i
глъ,-s---mn--i
чкъ,-s---mn--i
ѣко,---------n
сь,-s---mn--i
чкъ,-s---mn--i
отъвѣшташѧ,3paia----i
імъ,3p---md--i
фарісѣі,-p---mn--i
нъ,---------n
народо,-s---mn--i
сь,-s---mn--i
іже,-s---mn--i
не,---------n
вѣстъ,3spia----i
закона,-s---mg--i
проклѧті,-puppmn-si
сѫтъ,3ppia----i
гла,3saia----i
нікодімъ,-s---mn--i
къ,---------n
німъ,3p---md--i
прішедъі,-supamn-wi
къ,---------n
немоу,3s---md--i
ноштіѭ,-s---fi--i
едінъ,-s---mn--i
съі,-sppamn-si
отъ,---------n
ніхъ,3p---ml--i
еда,---------n
законъ,-s---mn--i
нашь,1s---mn--i
сѫдітъ,3spia----i
чкоу,-s---md--i
аште,---------n
не,---------n
слъішітъ,3spia----i
отъ,---------n
него,3s---mg--i
прѣжде,---------n
і,---------n
разоумѣѭтъ,3ppia----i
чьто,-s---na--i
творітъ,3spia----i
отъвѣшташѧ,3paia----i
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
еда,---------n
тъі,2s---mn--i
отъ,---------n
галілеѧ,-s---fg--i
есі,2spia----i
іспъітаі,2spma----i
і,---------n
і,---------n
віждь,2spma----i
ѣко,---------n
отъ,---------n
галілеѧ,-s---fg--i
пророкъ,-s---mn--i
не,---------n
прідетъ,3spia----i
і,---------n
іде,3saia----i
къжьдо,-s---mn--i
въ,---------n
домъ,-s---ma--i
своі,3s---ma--i
ііс,-s---mn--i
же,---------n
іде,3saia----i
въ,---------n
горѫ,-s---fa--i
елеоньскѫѭ,-s---fapwi
ютро,---------n
же,---------n
пакъі,---------n
пріде,3saia----i
въ,---------n
цръковь,-s---fa--i
і,---------n
всі,-p---mn--i
людіе,-p---mn--i
ідѣахѫ,3piia----i
къ,---------n
немоу,3s---md--i
і,---------n
сѣдъ,-supamn-si
оучааше,3siia----i
ѧ,3p---ma--i
прівѣсѧ,3paia----i
же,---------n
къніжьніці,-p---mn--i
і,---------n
фарісѣі,-p---mn--i
женѫ,-s---fa--i
въ,---------n
прѣлюбодѣані,-s---nl--i
ѧтѫ,-suppfa-si
і,---------n
поставльше,-pupamn-si
ѭ,3s---fa--i
посрѣдѣ,---------n
глашѧ,3paia----i
емоу,3s---md--i
оучітелю,-s---mv--i
сі,-s---fn--i
жена,-s---fn--i
ѧта,-suppfn-si
естъ,3spia----i
нъінѣ,---------n
въ,---------n
прѣлюбодѣаніі,-s---nl--i
въ,---------n
законѣ,-s---ml--i
намъ,1p---qd--i
мосі,-s---mn--i
повелѣ,3saia----i
таковъіѧ,-p---fapwi
каменіемь,-s---ni--i
побіваті,--pna----i
тъі,2s---qn--i
же,---------n
чьто,-s---na--i
глеші,2spia----i
се,3s---qa--i
же,---------n
рѣшѧ,3paia----i
іскоушаѭште,-pppamn-si
і,3s---ma--i
да,---------n
бѫ,3ppsa----i
імѣлі,-pspamn-si
на,---------n
нь,3s---ma--i
чьто,-s---na--i
глаті,--pna----i
іс,-s---mn--i
же,---------n
нізъ,-------p-i
поклонь,-supamn-si
сѧ,3s---qa--i
прьстомь,-s---mi--i
пісаше,3paia----i
на,---------n
земі,-s---fl--i
ѣко,---------n
же,---------n
прілежахѫ,3piia----i
въпрашаѭште,-pppamn-si
і,---------n
въсклоні,3saia----i
сѧ,3s---qa--i
і,---------n
рече,3saia----i
імъ,3p---md--i
іже,-s---mn--i
васъ,2p---qg--i
без,---------n
грѣха,-s---mg--i
естъ,3spia----i
прѣжде,---------n
връзі,3spma----i
камень,-s---ma--i
на,---------n
нѭ,3s---fa--i
і,---------n
пакъі,---------n
поклонь,-supamn-si
сѧ,3s---qa--i
пісаше,3paia----i
на,---------n
землі,-s---fl--i
слъісавъше,-pupamn-si
ісхождахѫ,3piia----i
едінъ,-s---mn--i
по,---------n
едіномоу,-s---md--i
начьнъше,-supamn-si
отъ,---------n
старьць,-s---mn--i
і,---------n
оста,3saia----i
едінъ,-s---mn--i
і,---------n
жена,-s---fn--i
стоѧшті,-sppafn-si
посрѣдѣ,---------n
въсклонь,-supamn-si
же,---------n
сѧ,3s---qa--i
іс,-s---mn--i
рече,3saia----i
еі,3s---fd--i
жено,-s---fv--i
къде,---------n
сѫтъ,3ppia----i
іже,-p---mn--i
на,---------n
тѧ,2s---qa--i
важдахѫ,3piia----i
нікъіже,-s---mn--i
лі,---------n
тебе,2s---mg--i
осѫді,2saia----i
она,-s---fn--i
же,---------n
рече,3saia----i
нікътоже,-s---mn--i
гі,-s---mv--i
рече,3saia----i
же,---------n
іс,-s---mn--i
ні,---------n
азъ,1s---qn--i
тебе,2s---qg--i
осѫждаѭ,1spia----i
іді,2spma----i
і,---------n
отъселѣ,---------n
не,---------n
съгрѣшаі,2spma----i
къ,---------n
томоу,-s---nd--i
пакъі,---------n
же,---------n
імъ,3p---md--i
рече,3saia----i
іс,-s---mn--i
глѧ,-sppamn-si
азъ,1s---qn--i
есмь,1spia----i
свѣтъ,-s---mn--i
міроу,-s---md--i
ходѧі,-sppamn-wi
по,---------n
мнѣ,1s---ql--i
не,---------n
іматъ,3spia----i
ходіті,--pna----i
въ,---------n
тъмѣ,-s---fl--i
нъ,---------n
іматъ,3spia----i
свѣта,-s---mg--i
жівотънаго,-s---ogpwi
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
фарісѣі,-p---mn--i
тъі,2s---qn--i
о,---------n
себѣ,3s---ql--i
самъ,-s---mn--i
съвѣдѣтельствоуеші,2spia----i
съвѣдѣтельство,-s---nn--i
твое,2s---nn--i
нѣстъ,3spia----i
істінъно,-s---nnpsi
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
імъ,3p---md--i
аште,---------n
азъ,1s---qn--i
съвѣдѣтельствоуѭ,1spia----i
о,---------n
мьнѣ,1s---ql--i
самомь,-s---ol--i
съвѣдѣтельство,-s---nn--i
мое,1s---nn--i
нѣстъ,3spia----i
істінъно,-s---nnpsi
естъ,3spia----i
ѣко,---------n
вѣмь,1spia----i
отъкѫдоу,---------n
прідъ,1saia----i
і,---------n
камо,---------n
грѧдѫ,1spia----i
і,---------n
камо,---------n
ідѫ,1spia----i
въі,2p---qa--i
же,---------n
по,---------n
плъті,-s---fd--i
сѫдіте,2ppia----i
азъ,1s---qn--i
не,---------n
сѫждѫ,1spia----i
нікомоуже,-s---qd--i
аште,---------n
сѫждѫ,1spia----i
азъ,1s---qn--i
сѫдъ,-s---mn--i
моі,1s---mn--i
істіньнъ,-s---mnpsi
естъ,3spia----i
ѣко,---------n
едінъ,-s---mn--i
нѣсмь,1spia----i
нъ,---------n
азъ,1s---qn--i
і,---------n
посълавъі,-supamn-wi
мѧ,1s---qa--i
оць,-s---mn--i
і,---------n
въ,---------n
законѣ,-s---ml--i
же,---------n
вашемь,2s---ol--i
спано,-suppnn-si
естъ,3spia----i
ѣко,---------n
дъвою,-d---qg--i
чкоу,-s---md--i
съвѣдѣтельство,-s---nn--i
істіньно,-s---nnpsi
естъ,3spia----i
азъ,1s---qn--i
есмь,1spia----i
съвѣдѣтельствоуѧі,-sppamn-wi
о,---------n
мьнѣ,1s---ql--i
самомь,-s---ol--i
і,---------n
съвѣдѣтельствоуетъ,3spia----i
о,---------n
мьнѣ,1s---ql--i
посълавъі,-supamn-wi
ме,1s---ma--i
оць,-s---mn--i
глахѫ,3piia----i
же,---------n
емоу,3s---md--i
къде,---------n
естъ,3spia----i
оць,-s---mn--i
твоі,2s---mn--i
отъвѣшта,3saia----i
іс,-s---mn--i
ні,---------n
мене,1s---qg--i
вѣсте,2ppia----i
ні,---------n
оца,-s---mg--i
мего,-supamg-wi
аште,---------n
мѧ,1s---qa--i
бісте,2ppsa----i
вѣдѣлі,-pspamn-si
і,---------n
оца,-s---mg--i
моего,1s---og--i
оубо,---------n
бісте,2ppsa----i
вѣдѣлі,-pspamn-si
сіѧ,-p---pa--i
глъі,-p---ma--i
гла,3saia----i
въ,---------n
газофілакіі,-s---fl--i
оучѧ,-sppamn-si
въ,---------n
цръкъве,-s---fl--i
і,---------n
нікътоже,-s---qn--i
не,---------n
етъ,3spia----i
его,3s---mg--i
ѣко,---------n
не,---------n
ю,---------n
бѣ,3siia----i
прішьла,-sspafn-si
годіна,-s---fn--i
его,3s---mg--i
рече,3saia----i
же,---------n
імъ,3p---md--i
пакъі,---------n
іс,-s---mn--i
азъ,1s---mn--i
ідѫ,1spia----i
і,---------n
вьзіштете,2ppia----i
мене,1s---qg--i
і,---------n
въ,---------n
грѣсѣ,-s---ml--i
вашемь,2s---ol--i
оумьрете,2ppia----i
ѣможе,---------n
азъ,1s---qn--i
ідѫ,1spia----i
въі,2p---qn--i
не,---------n
можете,2ppia----i
пріті,--pna----i
глахѫ,3piia----i
же,---------n
іюдеі,-p---mn--i
еда,---------n
сѧ,3s---qa--i
самъ,-s---mn--i
оубіетъ,3spia----i
ѣко,---------n
глетъ,3spia----i
ѣможе,---------n
азъ,1s---qn--i
ідѫ,1spia----i
въі,2p---qn--i
не,---------n
можете,2ppia----i
пріті,--pna----i
азъ,1s---qn--i
отъ,---------n
въішьніхъ,-p---ngpwi
есмь,1spia----i
въі,2p---qn--i
отъ,---------n
вьсего,-s---og--i
міра,-s---mg--i
есте,2ppia----i
азъ,1s---qn--i
нѣсмь,1spia----i
отъ,---------n
вьсего,-s---og--i
міра,-s---mg--i
рѣхъ,1saia----i
оубо,---------n
ѣко,---------n
оумьрете,2ppia----i
въ,---------n
грѣсѣхъ,-p---ml--i
вашіхъ,2p---ql--i
аште,---------n
бо,---------n
вѣръі,-s---fg--i
не,---------n
емлете,2ppia----i
азъ,1s---qn--i
есмь,1spia----i
оумьрете,2ppia----i
въ,---------n
грѣсѣхъ,-p---ml--i
вашіхъ,2p---ql--i
глаахѫ,3piia----i
же,---------n
емоу,3s---md--i
тъі,2s---qn--i
къто,-s---qn--i
есі,2spia----i
і,---------n
рече,3saia----i
імъ,3p---md--i
іс,-s---mn--i
начѧтъкъ,-s---mn--i
ѣко,---------n
і,---------n
глѭ,1spia----i
вамъ,2p---qd--i
мъного,-s---napsi
імамь,1spia----i
о,---------n
васъ,2p---ql--i
глаті,--pna----i
і,---------n
сѫдіті,--pna----i
нъ,---------n
посълавъі,-supamn-wi
мѧ,1s---qa--i
істіннъ,-s---mnpsi
естъ,3spia----i
і,---------n
азъ,1s---qn--i
ѣже,-p---na--i
слъішахъ,1saia----i
отъ,---------n
него,3s---mg--i
сі,-p---na--i
глѭ,1spia----i
въ,---------n
мірѣ,-s---ml--i
і,---------n
не,---------n
разоумѣшѧ,3paia----i
ѣко,---------n
оца,-s---mg--i
імъ,3p---md--i
глааше,3siia----i
ба,-s---mg--i
рече,3saia----i
же,---------n
імъ,3p---md--i
іс,-s---mn--i
егда,---------n
вьзнесете,-s---ml--i
сна,-s---mg--i
чскаго,-s---mgpwi
тогда,---------n
разоумѣете,2ppia----i
ѣко,---------n
азъ,1s---qn--i
есмь,1spia----i
і,---------n
о,---------n
себѣ,3s---ql--i
нічесоже,-s---ng--i
не,---------n
творѫ,1spia----i
нъ,---------n
ѣкоже,---------n
наоучі,2spma----i
мѧ,1s---ma--i
оць,-s---mn--i
сі,-p---na--i
глѭ,1spia----i
і,---------n
посълавъі,-supamn-wi
мѧ,1s---qa--i
съ,---------n
мъноѭ,1s---qi--i
естъ,3spia----i
не,---------n
оставі,3saia----i
мене,1s---qg--i
едіного,-s---og--i
оць,-s---mn--i
ѣко,---------n
азъ,1s---qn--i
оугодьна,-p---nnpsi
творѭ,1spia----i
емоу,3s---md--i
вьсегда,---------n
сі,-p---na--i
глѭштоу,-sppamd-si
емоу,3s---md--i
мнозі,-p---mnpsi
вѣровашѧ,3paia----i
въ,---------n
нь,3s---ma--i
глаше,3siia----i
же,---------n
іс,-s---mn--i
къ,---------n
вѣровавъшімъ,-pupaqd-wi
въ,---------n
нь,3s---ma--i
іюдеомъ,-p---md--i
аште,---------n
въі,2p---qn--i
прѣбѫдете,2ppia----i
въ,---------n
словесі,-s---nl--i
моемь,1s---ol--i
въ,---------n
істінѫ,-s---fa--i
оученіці,-p---mn--i
моі,1p---mn--i
бѫдете,2pfia----i
і,---------n
разоумѣете,2ppia----i
істінѫ,-s---fa--i
і,---------n
істіна,-s---fn--i
свободітъ,3spia----i
въі,2p---qa--i
отъвѣшташѧ,3paia----i
емоу,3s---md--i
іюдеі,-p---mn--i
сѣмѧ,-s---nn--i
авраамле,-s---nnpsi
есмъ,1ppia----i
і,---------n
нікомоуже,-s---qd--i
не,---------n
работахомъ,1saia----i
ніколіже,---------n
како,---------n
тъі,2s---mn--i
глеші,2spia----i
ѣко,---------n
свободь,---------n
бѫдете,2pfia----i
отъвѣшта,3saia----i
імъ,3p---md--i
іс,-s---mn--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---md--i
ѣко,---------n
всѣкъ,-s---mnpsi
творѧі,-sppamn-wi
грѣхъ,-s---ma--i
рабъ,-s---mn--i
естъ,3spia----i
грѣхоу,-s---md--i
а,---------n
