lemma|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response||pos
въсходити|восходить|0.2222222222||||||||V-
нѣкъто|некто|0.3333333333||||||||Px
бъдѣние|бдение|0.6153846154||||||||Nb
добродѣтельныи|добродетельный|0.1428571429||||||||A-
въпасти|впасть|0.5714285714||||||||V-
истьць|истец|0.3333333333||||||||Nb
въспоминати|вспоминать|0.1818181818||||||||V-
женъка|жёнка|0.4285714286||||||||Nb
съвѣщати|совещать|0.5|||||#reflexive|||V-
псалътырь|псалтырь|0.1111111111||||||||Nb
благочьстие|благочестие|0.0909090909||||||||Nb
сьрдьчьныи|сердечный|0.4||||||||A-
въспитати|воспитать|0.2222222222||||||||V-
печенѣжьскыи|печенежский|0.3333333333||||||||A-
пользьныи|полезный|0.3333333333||||||||A-
людьскыи|людской|0.375||||||||A-
възвести|возвести|0.375||||||||V-
агньць|агнец|0.7142857143||||||||Nb
отьчьскыи|отеческий|0.5555555556||||||||A-
вьсячьскы|всячески|0.3333333333||||||||Df
заутрьнии|заутренний|0.5555555556||||||||A-
отъшьствие|отшествие|0.2||||||||Nb
исчезнути|исчезнуть|0.1111111111||||||||V-
дъска|доска|0.2||||||||Nb
прѣтьрпѣти|претерпеть|0.4||||||||V-
пятьница|пятница|0.125||||||||Nb
кърмъ|корм|0.4||||||||Nb
священичьскыи|священнический|0.2857142857||||||||A-
възможьныи|возможный|0.3||||||||A-
зълодѣи|злодей|0.4285714286||||||||Nb
съзьдание|создание|0.2222222222||||||||Nb
рубашька|рубашка|0.125||||||||Nb
достигнути|достигнуть|0.1||||||||V-
нижьнии|нижний|0.2857142857||||||||A-
дѣвъка|девка|0.3333333333||||||||Nb
съчетъ|счёт|0.3333333333||||||||Nb
съдоровие|здоровье|0.3333333333||||||||Nb
нынѣшьнии|нынешний|0.3333333333||||||||A-
прѣславьныи|преславный|0.2727272727||||||||A-
отътуда|оттуда|0.1428571429||||||||Df
величие|величие|0||||||||Nb
въсточьныи|восточный|0.3||||||||A-
жалование|жалование|0||||||||Nb
чьстьно|честно|0.5||||||||Df
подъяти|поднять|0.2857142857|||||#irrelevant_irregular_change|||V-
съвъкупляти|совокуплять|0.8181818182||||||||V-
воскъ|воск|0.2||||||||Nb
нечьстивыи|нечестивый|0.2||||||||A-
мышьца|мышца|0.1666666667||||||||Nb
възоръ|взор|0.8333333333||||||||Nb
отъимати|отнимать|0.25|||||#irrelevant_irregular_change|||V-
обиходити|обходить|0.2222222222||||||||V-
мирьно|мирно|0.1666666667||||||||Df
съписати|списать|0.375||||||||V-
въспомянути|вспомянуть|0.3636363636||||||||V-
кудесьникъ|кудесник|0.2||||||||Nb
прѣдълежати|предлежать|0.9333333333||||||||V-
лъгати|лгать|0.3333333333||||||||V-
нощьныи|ночной|0.5714285714||||||||A-
въжещи|возжечь|0.6666666667||||||||V-
устьна|уста|0.3333333333|||||#irrelevant_irregular_change|||Nb
мьртвьць|мертвец|0.375||||||||Nb
дългъ|долг|0.4||||||||Nb
замъкнути|замкнуть|0.2222222222||||||||V-
гълѣбовъ|Глебов|0.5||||||||A-
вечерьнии|вечерний|0.2222222222||||||||A-
городъкъ|городок|0.25||||||||Nb
къняжии|княжий|||||||||A-
пьсковьскыи|псковский||||||we have пльсковьскыи, too, perhaps skip this one?|not sure what we gain by skipping?|well, пльсковьскыи and пьсковьскыи must be from somewhat different periods, right? I thought we are trying to be as archaic as we can? LCS won't have пьсковьскыи (I guess?)|A-
египьтьскыи|египетский|0.3636363636||||||||A-
гърдость|гордость|0.125||||||||Nb
съвѣщание|совещание|0.2222222222||||||||Nb
обьщии|общий|0.3333333333||||||||A-
морьскыи|морской|0.375||||||||A-
възненавидѣти|возненавидеть|0.2307692308||||||||V-
ковьръ|ковёр|0.3333333333||||||||Nb
чудотворьць|чудотворец|0.1818181818||||||||Nb
отъвьсюду|отовсюду|0.2222222222||||||||Df
чудотворьныи|чудотворный|0.1666666667||||||||A-
прѣдьнии|передний|0.5||||||South/East issue||A-
письць|писец|0.3333333333||||||||Nb
бытие|бытие|0||||||||Nb
источьникъ|источник|0.2||||||||Nb
жьртва|жертва|0.1666666667||||||||Nb
безумие|безумие|0||||||||Nb
отьчьство|отечество|0.2222222222||||||||Nb
попьрати|попрать|0.25||||||||V-
апостольскыи|апостольский|0.1666666667||||||||A-
съдравие|здравие|||||||||Nb
утвьржение|утверждение|0.3846153846||||||||Nb
окъньце|оконце|0.2857142857||||||||Nb
съблюдати|соблюдать|0.7777777778||||||||V-
основание|основание|0||||||||Nb
пьрси|перси|1||||||||Nb
замъкъ|замок|0.3333333333||||||||Nb
съвѣсть|совесть|0.2857142857||||||||Nb
убытъкъ|убыток|0.2857142857||||||||Nb
повиньныи|повинный|||||||||A-
съварити|сварить|0.25||||||||V-
понедѣльникъ|понедельник|0.1666666667||||||||Nb
недостатъкъ|недостаток|0.1818181818||||||||Nb
изъяти|изъять|0.8333333333||||||||V-
възирати|взирать|0.75||||||||V-
полътора|полтора|0.125||||||||Ma
вольныи|вольный|0.5555555556||||||||A-
смольньскыи|смоленский|||||||||A-
бръсити|бросить|0.2857142857||||||||V-
маленькыи|маленький|0.2222222222||||||||A-
останъкъ|останок|0.25|||||marginal in singular|||Nb
снъха|сноха|0.2||||||||Nb
показание|показание|0.2222222222||||||||Nb
государьскыи|государский|0.4166666667||||||||A-
вьсячьскыи|всяческий|0.4||||||||A-
иноземьць|иноземец|0.2222222222||||||||Nb
мъногоцѣньныи|многоценный|0.7692307692||||||||A-
ловьчии|ловчий|0.8571428571||||||||A-
лукавьство|лукавство|0.1||||||||Nb
льнъ|лён|0.5||||||you normally don't use ё||Nb
объновление|обновление|0.0909090909||||||||Nb
гумьно|гумно|0.1666666667||||||||Nb
творьць|творец|0.2857142857||||||||Nb
земльныи|земельный|0.2222222222||||||||A-
съвѣтьникъ|советник|0.4||||||||Nb
прѣдъстояти|предстоять|0.9090909091||||||||V-
въступити|вступить|0.2222222222||||||||V-
въздѣти|воздеть|0.6428571429||||||||V-
чьстити|честить|0.4285714286||||||чтить is hardly a match here||V-
бѣлозерьць|белозёрец|0.3||||||||Nb
въздвижение|воздвижение|0.6666666667||||||||Nb
бездъна|бездна|0.8181818182||||||||Nb
отъвести|отвести|0.125||||||||V-
муромьскыи|муромский|0.3||||||||A-
съньмъ|сонм|||||||||Nb
сълъгати|солгать|0.375||||||||V-
добытъкъ|добыток|0.7777777778||||||||Nb
вѣкъша|векша|0.875||||||||Nb
коньчьныи|конечный|0.5384615385|||||There is also конченый (done for), but that's from the participle with a different suffix, right? |agree that this is the right match||A-
воиньство|воинство|0.5555555556||||||||Nb
съвѣтовати|советовать|0.4166666667||||||||V-
тришьды|трижды|0.2857142857||||||||Df
сильно|сильно|0||||||||Df
вьдова|вдова|0.1666666667||||||||Nb
нѣмьчьскыи|немецкий|0.7|||||#irrelevant_irregular_change|there are more of these that don't have the tag||A-
дъвашьды|дважды|0.375||||||||Df
твѣрьскыи|тверской|0.4444444444||||||||A-
въскричати|вскричать|0.2||||||||V-
грамотъка|грамотка|0.2222222222||||||||Nb
рѣчька|речка|||||||||Nb
семьдесятъ|семьдесят|||||||remove all numerals?||Ma
дивьно|дивно|0.1666666667||||||||Df
къгда|когда|0.2||||||||Dq
древьнии|древний|0.25||||||||A-
благовоньныи|благовонный|0.1666666667||||||||A-
отъняти|отнять|0.2857142857||||||||V-
прельстити|прельстить|||||||||V-
свѣтильникъ|светильник|0.1818181818||||||||Nb
сквьрна|скверна|0.1428571429||||||||Nb
сънѣсти|съесть|0.4285714286|||||#irrelevant_irregular_change|||V-
суетьныи|суетный|0.25||||||||A-
начальникъ|начальник|0.1||||||||Nb
мьньшии|меньший|||||||||A-
прѣльщати|прельщать|0.8||||||||V-
умьныи|умный|0.3333333333||||||||A-
иерусалимьскыи|иерусалимский|0.2142857143||||||||A-
отьчии|отчий|0.3333333333||||||||A-
съконьчание|скончание|||||||||Nb
христианьскыи|христианский||||||we have хрьстияньскыи?|we do||A-
евангельскыи|евангельский|0.1666666667||||||||A-
съпрятати|спрятать|0.875||||||||V-
сълньчьныи|солнечный|0.4||||||||A-
пролитие|пролитие|||||||||Nb
испити|испить|0.5||||||||V-
отъпѣти|отпеть|0.8571428571||||||||V-
тъщии|тощий|0.8125||||||||A-
плътьскыи|плотский|0.4444444444||||||||A-
възнесение|Вознесение|0.2||||||||Nb
рязаньць|рязанец|||||||||Nb
передьнии|передний|0.2222222222||||||||A-
накърмити|накормить|0.2222222222||||||||V-
помощьникъ|помощник|0.2||||||||Nb
устрьмление|устремление|0.6363636364||||||||Nb
горько|горько|0||||||||Df
испъртити|испортить|0.2222222222||||||||V-
локъть|локоть|0.1666666667||||||||Nb
вьсяко|всяко|0.625||||||||Df
съказание|сказание|0.6153846154||||||||Nb
хъмельныи|хмельной|0.3333333333||||||||A-
сътяжание|стяжание|0.8333333333||||||||Nb
търговля|торговля|0.125||||||||Nb
милосьрдие|милосердие|0.1||||||||Nb
прочисти|прочесть|0.3333333333||||||#irrelevant_irregular_change||V-
рыбьныи|рыбный|0.2857142857||||||||A-
сърокъ|срок|0.3333333333||||||||Nb
ледьникъ|ледник|0.25||||||||Nb
почьтити|почтить|0.25||||||||V-
поварьня|поварня|0.75||||||||Nb
въторьникъ|вторник|0.3||||||||Nb
четвьргъ|четверг|0.25||||||||Nb
дълго|долго|0.2||||||||Df
съковати|сковать|0.25||||||||V-
отъсѣчи|отсечь|0.4285714286||||||||V-
възискание|взыскание|0.7||||||||Nb
съдьржати|содержать|0.3333333333||||||||V-
отъступьникъ|отступник|0.25||||||||Nb
тюрьма|тюрьма|0||||||||Nb
робенъкъ|ребёнок|0.375|||||#irrelevant_irregular_change|||Nb
тъкъмо|токмо|||||||||Df
врѣменьныи|временный|0.3||||||||A-
вълна|волна|0.2||||||||Nb
къняжичь|княжич|0.25||||||||Nb
дългота|долгота|0.1428571429||||||||Nb
вътечи|втечь|0.8571428571||||||||V-
съкопити|скопить|||||||||V-
съсьць|сосец|||||||||Nb
живоначальныи|живоначальный|0.0769230769||||||||A-
крыльце|крыльцо|0.1428571429||||||||Nb
търговати|торговать|0.2222222222||||||||V-
ковьчегъ|ковчег|0.25||||||||Nb
прозьрѣти|прозреть|0.3333333333||||||||V-
законьныи|законный|0.2222222222||||||||A-
сълучити|случить|0.4444444444|||||#reflexive|||V-
осквьрнити|осквернить|0.2||||||||V-
блудьныи|блудный|0.7777777778||||||||A-
святительскыи|святительский|0.1538461538||||||||A-
надъвое|надвое|0.1428571429||||||||Df
възносити|возносить|0.5882352941|||||#reflexive|||V-
съпасти|спасть||||||doublet, remove? I gather that this one is спасть (fall), while the previous one was cпастИ (save)|I wouldn't drop it, since the stems are different (though I agree that any interesting forms would be down to the prefix in both)|In such cases, how do I know which is which? Inflections are not always there, and the list does not have indices (e.g. cъпасти#1)|V-
отъвратити|отвратить|0.2||||||||V-
прѣображение|преображение|||||||||Nb
водьныи|водный|0.2857142857||||||||A-
послушьливыи|послушливый|0.4166666667||||||added||A-
благоухание|благоухание|0.7272727273||||||||Nb
въсылати|воссылать|0.3333333333||||||||V-
распьря|распря|0.1428571429||||||||Nb
коньчина|кончина|0.125||||||||Nb
подълѣ|подле|0.6666666667||||||||R-
прѣкрьстити|перекрестить|0.3333333333||||||South/East issue||V-
бубънъ|бубен|0.3333333333||||||||Nb
въпль|вопль|0.2||||||||Nb
лъжь|ложь|0.25||||||||Nb
объдьржати|одержать|0.8||||||added, both in Wiktionary|I am against обдержать!|V-
тьсть|тесть|||||||||Nb
въѣхати|въехать|0.2857142857||||||||V-
праздьныи|праздный|0.2222222222||||||||A-
мълчати|молчать|0.2857142857||||||||V-
събити|сбить|0.3333333333||||||||V-
дожьдати|дождать|0.4||||||added||V-
братьць|братец|0.2857142857||||||||Nb
жеребьць|жеребец|0.25||||||||Nb
сьдесе|здесь|0.5||||||not sure this should count as a match||Df
полънощь|полночь|0.25||||||South/East issue||Nb
сквьрныи|скверный|||||||||A-
радостьныи|радостный|||||||||A-
дальнии|дальний|0.1428571429||||||||A-
мясьныи|мясной|0.4285714286||||||||A-
платьно|полотно|0.4285714286||||||South/East issue||Nb
пересъмотрѣти|пересмотреть|0.2307692308||||||should probably have -съмотрити in this one as well||V-
дружьба|дружба|0.1428571429||||||||Nb
пользовати|пользовать|0.5||||||||V-
житьница|житница|0.125||||||||Nb
присьныи|присный|||||||||A-
попъртити|попортить|0.4444444444||||||||V-
конюшьна|конюшня|0.25||||||||Nb
посълание|послание|0.1111111111||||||||Nb
грозьныи|грозный|0.25||||||||A-
пльсковичь|пскович|0.3||||||||Nb
съмотрѣние|смотрение|0.5||||||||Nb
галичьскыи|галичский|||||||||A-
литъвьскыи|литовский|||||||||A-
правовѣрьныи|правоверный|0.25||||||||A-
въскочити|вскочить|0.2222222222||||||||V-
отъгънати|отогнать|0.3333333333||||||||V-
тьмьныи|темный|0.4285714286||||||||A-
усьрдие|усердие|||||||||Nb
хоросаньць|хорасанец|0.3||||||||Nb
вьсе|всё|0.5|||||keep or remove? Already covered by вьсь|It's only used for later texts that have it in the все-таки, все еще type adverbial meanings, so it could easily be dropped. What's our principle for dropping doublets?|just drop them? :)|Df
миленькыи|миленький|0.2222222222||||||||A-
будьто|будто|0.1666666667||||||||Df
съмощи|смочь|0.5|||||South/East issue|||V-
сълагати|слагать|0.25||||||||V-
объявити|объявить|||||||||V-
королевьскыи|королевский|||||||||A-
въсхвалити|восхвалить|0.2||||||||V-
протълковати|протолковать|||||||||V-
посадьничии|посадничий|0.3636363636||||||||A-
сътьскыи|сотский|0.8461538462||||||||A-
недѣльныи|недельный|0.6785714286||||||||A-
отъсюда|отсюда|0.1428571429||||||||Df
дьрзати|дерзать|0.2857142857||||||||V-
котьлъ|котел|0.3333333333||||||||Nb
угълъ|угол|0.4||||||||Nb
бръня|броня|0.9333333333||||||||Nb
заморие|заморье|0.375|||||no alternation with -ие|||Nb
осквьрняти|осквернять|0.2||||||||V-
колодьникъ|колодник|0.7||||||||Nb
чьрвь|червь|0.2||||||||Nb
жьзлъ|жезл|0.4||||||||Nb
отъкрыти|открыть|0.25||||||||V-
въмѣнити|вменить|0.9375||||||||V-
изобрѣсти|изобрести|0.1111111111||||||||V-
съгнити|сгнить|0.2857142857||||||||V-
сътьрпѣти|стерпеть|||||||||V-
корсуньскыи|корсунский|0.2727272727||||||||A-
обънажити|обнажить|0.2222222222||||||||V-
бесконьчьныи|бесконечный|0.25||||||||A-
въдваряти|водворять|0.8666666667||||||||V-
отъстояти|отстоять|0.4444444444||||||||V-
мъножити|множить|0.25||||||||V-
воеводьство|воеводство|0.7058823529||||||||Nb
въздухъ|воздух|0.2857142857||||||||Nb
мьчьта|мечта|1||||||||Nb
вѣчьныи|вечный|||||||||A-
вьсь|весь|1|||||archaic|||Nb
бъдѣти|бдеть|0.75||||||||V-
несъмысльныи|несмышленный|0.4166666667||||||||A-
благочьстивыи|благочестивый|0.1538461538||||||||A-
угодие|угодье|0.6666666667||||||||Nb
васильковъ|Васильков|0.2||||||||A-
възвѣщати|возвещать|0.6666666667||||||||V-
възворотити|возвратить|0.3636363636|||||South/East issue|||V-
мѣсячьныи|месячный|0.3333333333||||||||A-
городьня|городня|0.8333333333||||||||Nb
холопьство|холопство|0.1||||||||Nb
бережьно|бережно|0.6470588235||||||||Df
въздавати|воздавать|0.2222222222||||||||V-
тѣсьнота|теснота|||||||||Nb
събьрание|собрание|0.2222222222||||||||Nb
тъщета|тщета|0.8||||||||Nb
скърбѣти|скорбеть|0.375||||||||V-
вѣжьливыи|вежливый|0.3333333333||||||||A-
хлѣбьныи|хлебный|0.375||||||||A-
обрѣзъкъ|обрезок|0.375||||||||Nb
одьнорядъка|однорядка|0.1818181818||||||||Nb
розьныи|разный|0.4285714286||||||South/East issue||A-
приказьщикъ|приказчик||||||South/East issue|||Nb
избытъкъ|избыток|0.375|||||Typo in Syntacticus|||Nb
божьница|божница|1||||||||Nb
суждальскыи|суздальский|0.2727272727||||||the etymology of Суздаль is disputed, so hard to know what to think about the з/ж here. ||A-
высълати|выслать|0.5||||||||V-
коньныи|конный|0.2857142857||||||||A-
мирьныи|мирный|||||||||A-
окрьстъ|окрест|0.2857142857||||||||R-
прѣдъложити|предложить|0.2727272727||||||||V-
духовьникъ|духовник|0.2||||||||Nb
полатъка|палатчка|0.875||||||палатка? This is all Avvakum||Nb
пустыньныи|пустынный|||||||||A-
градъкъ|городок|0.5714285714|||||South/East issue|||Nb
съвлѣщи|совлечь|0.875|||||South/East issue|совлечь, South/East issue?||V-
съжещи|сжечь|0.5|||||South/East issue|||V-
безаконьныи|беззаконный|0.7272727273||||||||A-
купьчина|купчина|0.625||||||||Nb
съпустити|спустить|0.2222222222||||||||V-
вьсемилостивыи|всемилостивый|0.1428571429||||||||A-
възлетѣти|взлететь|0.3333333333||||||||V-
сановьникъ|сановник|0.2||||||||Nb
золотьникъ|золотник|0.5714285714||||||||Nb
кърсуньскыи|корсунский|0.3636363636|||||doublet|||A-
кърмильць|кормилец|0.3333333333||||||||Nb
льгъко|легко|0.3333333333||||||||Df
седьло|седло|0.1666666667||||||||Nb
бещисльныи|бесчисленный|||||||||A-
лъбъ|лоб|0.5||||||||Nb
противьникъ|противник|0.1818181818||||||||Nb
напрасьныи|напрасный|0.7||||||||A-
гъртань|гортань|0.1428571429||||||||Nb
вълчии|волчий|0.3333333333||||||||A-
сквьрньныи|скверный||||||no match?|why not скверный?|brain slugs, as usual|A-
кънижьникъ|книжник|0.9230769231||||||||Nb
въплътити|воплотить|0.3333333333||||||||V-
пришьствие|пришествие|||||||||Nb
плѣнение|пленение|0.125||||||||Nb
съмятение|смятение|0.1111111111||||||||Nb
мольбьнъ|молебен|0.375||||||||Nb
умьртвити|умертвить|0.2222222222||||||||V-
възлещи|возлечь|0.4285714286|||||South/East issue|||V-
десятиньныи|десятинный|0.1818181818||||||||A-
въгънати|вогнать|0.5||||||||V-
мьщение|мщение|0.7142857143||||||||Nb
отъбѣжати|отбежать|0.7777777778||||||||V-
вълхвование|волхвование|0.6363636364||||||||Nb
възбраняти|возбранять|0.8||||||||V-
половьцьскыи|половецкий|||||||||A-
благородьныи|благородный|0.1666666667||||||||A-
дъно|дно|0.25||||||||Nb
лъживыи|лживый|0.2857142857||||||||A-
гърдыни|гордыня|0.2857142857||||||||Nb
утвьржати|утверждать|0.4444444444|||||South/East issue|||V-
попадия|попадья|0.1428571429||||||||Nb
съмѣряти|смирять|0.375||||||||V-
помощьница|помощница|0.1||||||||Nb
отъложити|отложить|0.4444444444||||||corrected отбросить to отложить||V-
пьшено|пшено|0.1666666667||||||||Nb
отъсълати|отослать|0.3333333333||||||||V-
выбити|выбить|0.1666666667||||||||V-
чьрленыи|червленый|0.3333333333||||||||A-
ръжаныи|ржаной|0.4285714286||||||||A-
угодьныи|угодный|0.25||||||||A-
безумьныи|безумный|0.2222222222||||||||A-
корение|коренье|0.1428571429||||||||Nb
напрасьно|напрасно|0.1111111111||||||||Df
запьсати|записать|0.4|||||Aspect? Imperf in the original gloss|This is clearly the right match (we should make a principled decision on the -пьсати lemmas though, as we very often have -писати too)||V-
лѣстьница|лестница|0.2222222222||||||||Nb
бързо|борзо|0.6666666667||||||||Df
мочьныи|мощный||||||South/East issue|||A-
съясти|съесть|0.3333333333||||||||V-
хлѣбьникъ|хлебник|1||||||||Nb
мълнии|молния|0.3333333333||||||||Nb
полъдьнь|полдень|0.25||||||||Nb
съвѣдати|сведать|0.75||||||||V-
помьркнути|померкнуть|||||||||V-
къгда|когда|||||||||Df
давьныи|давний|||||||||A-
шьствовати|шествовать|0.2||||||||V-
жалостьныи|жалостный|0.2||||||||A-
въселеньскыи|вселенский|0.3333333333||||||||A-
рижьскыи|рижский|||||||||A-
подъняти|поднять|0.25||||||||V-
въразумити|вразумить|0.8||||||||V-
грьмѣти|греметь|||||||||V-
съискати|соискать|||||||what about сыскать?|Hmmm, I don't know it's history... Possibly?|V-
старьцевъ|старцев|0.4444444444||||||||A-
безаконьникъ|беззаконник|0.75||||||||Nb
обильныи|обильный|0.125||||||||A-
тиверьци|тиверцы|||||||||Nb
македоньскыи|македонский|0.25||||||||A-
расѣяти|рассеять|||||||||V-
полудьньныи|полуденный|0.2727272727||||||||A-
дънѣпрьскыи|днепрский|0.5454545455|||||Marginal, perhaps skip|no strong opinion||A-
сълѣзти|слезть|||||||||V-
жалобьныи|жалобный|0.2222222222||||||||A-
ефиопьскыи|эфиопский|0.4||||||||A-
вънъ|вон|1||||||||R-
оконьчати|окончать|0.3333333333|||||aspect?|should be окончать||V-
въоружити|вооружить|0.2222222222||||||||V-
съмыслити|смыслить|0.8888888889||||||||V-
дьбрь|дебри|0.4|||||Plurale tantum in CSR, but OK since we are matching at the form level?|||Nb
дьмитрѣвичь|дмитриевич|||||||||A-
правънукъ|правнук|||||||||Nb
овьсяныи|овсяный|0.25||||||||A-
съсати|сосать|||||||||V-
възвеличити|возвеличить|0.6363636364||||||||V-
сельце|сельцо|||||||||Nb
пространьныи|пространный|||||||||A-
развратити|развратить|0.3||||||||V-
пророчьство|пророчество|||||||||Nb
раздьрати|разодрать||||||aspect correct?|yes||V-
пьрвыи|первый|||||||||A-
отъвьржение|отвержение|0.1818181818||||||||Nb
животьныи|животный|0.7||||||||A-
прѣльщение|прельщение|||||||||Nb
сътваряти|сотворять|||||||||V-
хърватъ|хорват|0.2857142857||||||||Nb
дѣтьство|детство|0.25||||||||Nb
пьрсть|персть|0.6666666667||||||||Nb
дѣвьство|девство|0.6153846154||||||||Nb
пльвати|плевать|0.2857142857||||||||V-
възмутити|возмутить|0.8181818182||||||||V-
кърмитель|кормитель|0.4444444444||||||||Nb
възвысити|возвысить|0.5454545455||||||||V-
отъдавати|отдавать|0.2222222222||||||||V-
стояние|стояние|0||||||||Nb
съвѣдѣтель|свидететь|||||||||Nb
причастие|причастие|0.3||||||||Nb
вьсемогущии|Всемогущий|0.2727272727||||||||A-
скопьць|скопец|||||||||Nb
молитвьныи|молитвенный|0.2727272727||||||||A-
прѣдивьныи|предивный|0.3||||||||A-
даньникъ|данник|0.25||||||||Nb
съмущати|смущать|0.25||||||||V-
несквьрньныи|нескверный|0.6153846154||||||||A-
неповиньныи|неповинный|0.1818181818||||||||A-
кутия|кутья|0.2||||||||Nb
жительство|жительство|0||||||||Nb
лъжьныи|ложный|0.4285714286||||||||A-
нелицемѣрьныи|нелицемерный|0.2307692308||||||||A-
отъвращати|отвращать|0.5882352941||||||||V-
рьвьнитель|ревнитель|||||||||Nb
самодьржьць|самодержец|||||||||Nb
искусьныи|искусный|0.7777777778||||||||A-
затъхнути|затхнуть|0.9090909091|||||Marginal|||V-
вражьда|вражда|0.8888888889||||||||Nb
покорьныи|покорный|||||||||A-
хорошенько|хорошенько|0||||||||Df
четвьрть|четверть|0.125||||||||Nb
повареньныи|поваренный|0.1818181818||||||||A-
надобьныи|надобный|0.7777777778||||||||A-
търговыи|торговый|0.25||||||||A-
утъка|утка|0.2||||||||Nb
перебьрати|перебрать|0.2||||||||V-
отънынѣ|отныне|0.2857142857||||||||Df
письмя|письмена||||||plurale tantum|ok||Nb
изгънание|изгнание|0.1111111111||||||||Nb
поставление|поставление|||||||||Nb
котьльникъ|котельник|||||||||Nb
лодъка|лодка|0.1666666667||||||||Nb
съпасовъ|Спасов|0.375||||||||A-
раждещи|разжечь|0.5714285714|||||South/East issue|||V-
прѣчудьныи|пречудный|0.6||||||||A-
богоносьныи|богоносный|0.8947368421||||||||A-
объходити|обходить|0.2222222222||||||||V-
потьрпѣти|потерпеть|0.6666666667||||||||V-
послѣдъкъ|последок|0.8888888889||||||||Nb
причисти|причесть|0.3|||||right?|yes||V-
стѣнобитьныи|стенобитный|0.25||||||||A-
гузьно|гузно|0.8333333333||||||||Nb
дьрати|драть|0.7142857143||||||||V-
гърло|горло|0.2||||||||Nb
въспоминание|воспоминание|0.0833333333||||||||Nb
провъзгласити|провозгласить|||||||||V-
въоружати|вооружать|||||||||V-
матушька|матушка|||||||||Nb
съставливати|составлять||||||?|||V-
ръпътати|роптать|||||||||V-
раздѣление|разделение|||||||||Nb
мазовъшане|мазовшане|0.1||||||||Nb
дрьгъвичи|дреговичи|0.2222222222||||||||Nb
помьрѣти|помереть|||||||||V-
възятие|взятие|0.1428571429||||||||Nb
окольныи|окольный|0.7575757576||||||||A-
нашьствие|нашествие|0.1111111111||||||||Nb
отътудѣ|оттуда|0.2857142857|||||skip?|||Df
объновити|обновить|0.2222222222||||||||V-
некрьщеныи|некрещеный|0.2||||||||A-
теремьныи|теремной|||||||||A-
неприязньныи|неприязненный|0.9166666667||||||||A-
уродьство|уродство|||||||||Nb
отъмѣтати|отметать|0.5555555556||||||||V-
тънъкыи|тонкий|0.5714285714||||||||A-
подъступити|подступить|0.1818181818||||||||V-
дьньница|денница|0.8666666667||||||||Nb
вьчера|вчера|0.1666666667||||||||Df
вънести|внести|0.1428571429||||||||V-
пригънати|пригнать|||||||||V-
нечьстие|нечестие|0.125||||||||Nb
непраздьныи|непраздный|0.6363636364||||||||A-
наложьница|наложница|0.1||||||||Nb
съвъкупление|совокупление|0.1666666667||||||||Nb
възроптати|возроптать|0.2||||||||V-
съкрывати|скрывать|||||||||V-
лѣтописьць|летописец|0.3||||||||Nb
человѣчьство|человечество|0.1666666667||||||||Nb
безгрѣшьныи|безгрешный|0.2727272727||||||||A-
въскърмити|вскормить|0.7||||||||V-
възмьздие|возмездие|0.2222222222||||||||Nb
гридьня|гридня|0.5||||||||Nb
супротивьныи|супротивный|||||||||A-
дьржава|держава|0.8571428571||||||||Nb
вышегородьць|вышгородец|0.25||||||||Nb
пронырьство|пронырство|||||||||Nb
правьдивыи|правдивый|||||||||A-
възлѣ|возле|0.4||||||||R-
пагубьныи|пагубный|0.6363636364||||||||A-
умякъчити|умягчить|0.4444444444||||||||V-
умьртвие|умертвие|||||||||Nb
исъхнути|иссохнуть|0.4444444444||||||||V-
въводити|вводить|0.25||||||||V-
отъвьрзати|отверзать|0.6||||||||V-
виньныи|винный|||||||||A-
дьневьныи|дневной|0.4444444444||||||||A-
цвѣтъкъ|цветок|0.4285714286||||||||Nb
продължити|продолжить|||||||||V-
незълобивыи|незлобивый|0.1818181818||||||||A-
судьныи|судный|0.2857142857||||||||A-
съставъ|состав|0.2857142857|||||сустав, too?|I'd rather not bring су- forms into it if we don't have to||Nb
вельблудъ|верблюд|0.4444444444||||||I guess||Nb
муромьць|муромец|0.25||||||||Nb
хыщьникъ|хищник|0.7777777778||||||||Nb
съвѣдѣтельствовати|свидетельствовать|||||||||V-
свѣтьло|светло|0.2857142857||||||||Df
въдворити|водворить|0.8125||||||||V-
сорочька|сорочка|||||||||Nb
сънимати|снимать|0.25||||||||V-
ожещи|обжечь|0.5|||||South/East|||V-
розбити|разбить|0.2857142857||||||||V-
дьрзость|дерзость|0.125||||||||Nb
тьлѣныи|тленный|||||||||A-
съмѣрити|смирить|0.8333333333|||||correct?|I think we're allowing these||V-
пьря|пря|0.75||||||||Nb
наслажение|наслаждение|0.0909090909||||||||Nb
възбранити|возбранить|0.6||||||||V-
метельникъ|метельник|||||||||Nb
въняти|внять|0.3333333333||||||||V-
бортьныи|бортный|0.8571428571||||||||A-
мужьнии|мужний|0.2857142857||||||||A-
близъкыи|близкий|0.375||||||||A-
мьрзъкыи|мерзкий|0.5||||||||A-
сущьство|существо|0.5||||||||Nb
приятьныи|приятный|0.2222222222||||||||A-
мольбьныи|молебный|0.5454545455||||||||A-
неподобьныи|неподобный|0.5833333333||||||||A-
ширинъка|ширинка|0.6842105263||||||||Nb
въдругъ|вдруг|0.2857142857||||||||Df
судьба|судьба|||||||||Nb
