torot_word|pos|morph_tag|deep_cleaned|lemma_id|lemma|sentence_id|pres_before|pres_after|text_id|subtitle_id
Ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже|5000596| | |10|24
бо|Df|---------n|бо|94|бо|5000596|| |10|24
бъістъ|V-|3saia----i|бъістъ|18|бꙑти|5000596|| |10|24
въ|R-|---------n|въ|111|въ|5000596|| |10|24
дьні|Nb|-p---ma--i|дьні|522|дьнь|5000596|| |10|24
ное̄въи|A-|-p---papsi|ноевъі|1857|ноевъ|5000596|| · |10|24
Тако|Df|---------n|тако|48|тако|5000596|| |10|24
бѫдетъ|V-|3sfia----i|бѫдетъ|18|бꙑти|5000596|| |10|24
ӣ|C-|---------n|і|13|и|5000596|| |10|24
въ|R-|---------n|въ|111|въ|5000596|| |10|24
дьні|Nb|-s---mg--i|дьні|522|дьнь|5000596|| |10|24
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000596|| |10|24
ч҃лча|A-|-s---mgpsi|члча|56|чловѣчь|5000596|| ·|10|24
Ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже|5000597| | |10|24
бо|Df|---------n|бо|94|бо|5000597|| |10|24
бѣа̄хѫ|V-|3piia----i|бѣахѫ|18|бꙑти|5000597|| |10|24
въ|R-|---------n|въ|111|въ|5000597|| |10|24
дьні|Nb|-p---ma--i|дьні|522|дьнь|5000597|| |10|24
прѣжде|R-|---------n|прѣжде|216|прѣжде|5000597|| |10|24
потопа|Nb|-s---mg--i|потопа|188|потопъ|5000597|| · |10|24
ѣ҅дѫще|V-|-pppamn-si|ѣдѫште|815|ꙗсти|5000597|| |10|24
ӣ|C-|---------n|і|13|и|5000597|| |10|24
піѭ̄шт̄е|V-|-pppamn-si|піѭште|365|пити|5000597|| · |10|24
женѧще|V-|-pppamn-si|женѧште|1597|женити|5000597|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000597|| |10|24
ӣ|C-|---------n|і|13|и|5000597|| |10|24
посагаѭ̄ще|V-|-pppamn-si|посагаѭште|1746|посагати|5000597|| · |10|24
до|R-|---------n|до|187|до|5000597|| |10|24
негоже|Pr|-s---og--i|негоже|96|иже|5000597|| |10|24
дьні|Nb|-s---mg--i|дьні|522|дьнь|5000597|| |10|24
вънід$е@ное̄|V-|-suppna-wi|въніденое|380|вънити|5000597|| |10|24
въ|R-|---------n|въ|111|въ|5000597|| |10|24
ковчег|Nb|-s---mn--i|ковчег|1859|ковьчегъ|5000597|| ·|10|24
Ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже|5000598| | |10|24
бо|Df|---------n|бо|94|бо|5000598|| |10|24
бѣа̄хѫ|V-|3piia----i|бѣахѫ|18|бꙑти|5000598|| |10|24
въ|R-|---------n|въ|111|въ|5000598|| |10|24
дьни|Nb|-p---ma--i|дьні|522|дьнь|5000598|| |10|24
прѣжде|R-|---------n|прѣжде|216|прѣжде|5000598|| |10|24
потопа|Nb|-s---mg--i|потопа|188|потопъ|5000598|| · |10|24
ѣ̄дѫште|V-|-pppamn-si|ѣдѫште|815|ꙗсти|5000598|| |10|24
ӣ|C-|---------n|і|13|и|5000598|| |10|24
піѭ̄ште|V-|-pppamn-si|піѭште|365|пити|5000598|| · |10|24
женѧште|V-|-pppamn-si|женѧште|1597|женити|5000598|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000598|| |10|24
ӣ|C-|---------n|і|13|и|5000598|| |10|24
посагаѭ҅ште|V-|-pppamn-si|посагаѭште|1746|посагати|5000598|| · |10|24
до|R-|---------n|до|187|до|5000598|| |10|24
него|Pp|3s---mg--i|него|64|и|5000598|| |10|24
же|Df|---------n|же|20|же|5000598|| |10|24
дьне|Nb|-s---mg--i|дьне|522|дьнь|5000598|| · |10|24
въніде|V-|3saia----i|въніде|380|вънити|5000598|| |10|24
ное̄|Ne|-s---mn--i|ное|1858|ное|5000598|| |10|24
въ|R-|---------n|въ|111|въ|5000598|| |10|24
ковъчегь̄|Nb|-supamn-si|ковъчегь|1859|ковьчегъ|5000598|| ·|10|24
ӣ|C-|---------n|і|13|и|5000599| | |10|24
не|Df|---------n|не|8|не|5000599|| |10|24
о̄щютішѧ|V-|3paia----i|оштоутішѧ|1860|ощоутити|5000599|| · |10|24
доньдеже|G-|---------n|доньдеже|674|доньде|5000599|| |10|24
приде|V-|3saia----i|пріде|221|прити|5000599|| |10|24
потопъ|Nb|-s---mn--i|потопъ|188|потопъ|5000599|| · |10|24
ӣ|C-|---------n|і|13|и|5000599|| |10|24
възѧтъ|V-|---u--a--i|възѧтъ|605|възѧти|5000599|| |10|24
вс̄ѧ|Px|-p---ma--i|всѧ|54|вьсь|5000599|| · |10|24
Тако|Df|---------n|тако|48|тако|5000599|| |10|24
бѫдетъ|V-|3sfia----i|бѫдетъ|18|бꙑти|5000599|| |10|24
ӣ|C-|---------n|і|13|и|5000599|| |10|24
прішествіе̄|Nb|-s---nn--i|прішествіе|1821|пришьствиѥ|5000599|| |10|24
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000599|| |10|24
ч҃лчѣ|Nb|-s---mg--i|члчѣ|0|FIXME|5000599|| ·|10|24
и|C-|---------n|і|13|и|5000600| |҅ |10|24
не|Df|---------n|не|8|не|5000600|| |10|24
о҅штѹтишѧ|V-|3paia----i|оштоутішѧ|1860|ощоутити|5000600|| · |10|24
доньдеже|G-|---------n|доньдеже|674|доньде|5000600|| |10|24
пріде|V-|3saia----i|пріде|221|прити|5000600|| ⁛ |10|24
потопь|Nb|-p---mg--i|потопь|188|потопъ|5000600|| |10|24
ѝ|C-|---------n|і|13|и|5000600|| |10|24
възѧтъ|V-|---u--a--i|възѧтъ|605|възѧти|5000600|| |10|24
въсѧ|Px|-p---fa--i|въсѧ|54|вьсь|5000600|| · |10|24
Тако|Df|---------n|тако|48|тако|5000600|| |10|24
бѫдетъ|V-|3sfia----i|бѫдетъ|18|бꙑти|5000600|| |10|24
и|C-|---------n|і|13|и|5000600|| |10|24
въ|R-|---------n|въ|111|въ|5000600|| |10|24
пришеств҅і̄е̄|Nb|-s---na--i|прішествіе|1821|пришьствиѥ|5000600|| |10|24
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000600|| |10|24
ч҃лча|A-|-s---mgpsi|члча|56|чловѣчь|5000600|| ·|10|24
Тогд̄а|Df|---------n|тогда|670|тъгда|5000601| | |10|24
бѫдете|V-|3dfia----i|бѫдете|18|бꙑти|5000601|| · |10|24
дьва|Ma|-d---mn--i|дьва|230|дъва|5000601|| |10|24
на|R-|---------n|на|117|на|5000601|| |10|24
селѣ|Nb|-s---nl--i|селѣ|1339|село|5000601|| · |10|24
е̄дінъ|Ma|-s---mn--i|едінъ|243|ѥдинъ|5000601|| |10|24
поем$л@е|V-|-sppamn-si|поемле|708|поимати|5000601||҅|10|24
Тогд҅а̄|Df|---------n|тогда|670|тъгда|5000602| | |10|24
дъ҅ва̄|Ma|-d---mn--i|дъва|230|дъва|5000602|| |10|24
бѫдете|V-|3dfia----i|бѫдете|18|бꙑти|5000602|| |10|24
на|R-|---------n|на|117|на|5000602|| |10|24
селѣ|Nb|-s---nl--i|селѣ|1339|село|5000602|| · |10|24
е̄динъ|Ma|-s---mn--i|едінъ|243|ѥдинъ|5000602|| |10|24
пое̄м$л@ет|V-|3spia----i|поемлет|708|поимати|5000602|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000602|| |10|24
а̄|C-|---------n|а|85|а|5000602|| |10|24
дрѹгъі|A-|-s---mnpwi|дроугъі|133|дроугъ|5000602|| |10|24
о̄ставлѣе̄тъ|V-|3spia----i|оставлѣетъ|55|оставлꙗти|5000602|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000602|| ·|10|24
Дьвѣ|Ma|-d---fn--i|дьвѣ|230|дъва|5000603| | |10|24
мелѭщи|V-|-dppafn-si|мелѭшті|1861|млѣти|5000603|| |10|24
въ|R-|---------n|въ|111|въ|5000603|| |10|24
жрънъвах|Nb|-p---fl--i|жрънъвах|1550|жрьнꙑ|5000603|| · |10|24
Е̄діна|Ma|-s---fn--i|едіна|243|ѥдинъ|5000603|| |10|24
пое̄м$л@е̄тъ|V-|3spia----i|поемлетъ|708|поимати|5000603|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000603|| · |10|24
И҅҅|C-|---------n|і|13|и|5000603|| |10|24
е̄дина|Px|-s---fn--i|едіна|984|ѥдинъ|5000603|| |10|24
о̄ставлѣе̄тъ|V-|3spia----i|оставлѣетъ|55|оставлꙗти|5000603|| |10|24
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000603|| ·|10|24
Бьдідіте|V-|2ppma----i|бьдідіте|1862|бъдѣти|5000604| | |10|24
ѹ̄бо|Df|---------n|оубо|6|оубо|5000604|| · |10|24
ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000604|| |10|24
не|Df|---------n|не|8|не|5000604|| |10|24
вѣсте|V-|2ppia----i|вѣсте|138|вѣдѣти|5000604|| · |10|24
въ|R-|---------n|въ|111|въ|5000604|| |10|24
кѫѭ|Pi|-s---fa--i|кѫѭ|267|кꙑи|5000604|| |10|24
годінѫ|Nb|-s---fa--i|годінѫ|1410|година|5000604|| · |10|24
г҃ь|Nb|-s---mn--i|гь|342|господь|5000604|| |10|24
вашъ|Ps|2s---mn--i|вашъ|720|вашь|5000604|| |10|24
прідетъ|V-|3spia----i|прідетъ|221|прити|5000604|| ·|10|24
бьдите|V-|2ppma----i|бьдіте|1862|бъдѣти|5000605| | |10|24
ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000605|| |10|24
не|Df|---------n|не|8|не|5000605|| |10|24
вѣст$е@|V-|2ppia----i|вѣсте|138|вѣдѣти|5000605|| |10|24
дьне|Nb|-s---mg--i|дьне|522|дьнь|5000605|| ·: коц|10|24
Се|Pd|---------n|се|47|сь|5000606| | |10|24
же|Df|---------n|же|20|же|5000606|| |10|24
вѣдите|V-|2ppma----i|вѣдіте|138|вѣдѣти|5000606|| · |10|24
ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000606|| |10|24
а̄ште|G-|---------n|аште|248|аще|5000606|| |10|24
би|V-|3spsa----i|бі|18|бꙑти|5000606|| |10|24
вѣдѣлъ|V-|-sspamn-si|вѣдѣлъ|138|вѣдѣти|5000606|| |10|24
г҃днъ|A-|-s---mn--i|гднъ|0|FIXME|5000606|| |10|24
храма|Nb|-s---mg--i|храма|375|храмъ|5000606|| |10|24
въ|R-|---------n|въ|111|въ|5000606|| |10|24
кѫѭ̄|Pi|-s---fa--i|кѫѭ|267|кꙑи|5000606|| |10|24
стражѭ|Nb|-s---fa--i|стражѫ|1424|стража|5000606|| |10|24
тать|Nb|-s---mn--i|тать|799|тать|5000606|| |10|24
прідетъ|V-|3spia----i|прідетъ|221|прити|5000606|| · |10|24
бьдѣлъ|V-|-sspamn-si|бьдѣлъ|1862|бъдѣти|5000606|| |10|24
ѹбо|Df|---------n|оубо|6|оубо|5000606|| |10|24
бі|V-|3spsa----i|бі|18|бꙑти|5000606|| |10|24
ӣ|C-|---------n|і|13|и|5000606|| |10|24
не|Df|---------n|не|8|не|5000606|| |10|24
бі|V-|3spsa----i|бі|18|бꙑти|5000606|| |10|24
о̄ставилъ|V-|-sspamn-si|оставілъ|666|оставити|5000606|| |10|24
подъръиті|V-|--pna----i|подъръіті|1863|подърꙑти|5000606|| |10|24
храмінъи|Nb|-s---fg--i|храмінъі|909|храмина|5000606|| |10|24
сво$е@̄ѩ̄|Pt|3s---fg--i|своеѧ|217|свои|5000606|| ·|10|24
Сего|Pd|-s---mg--i|сего|47|сь|5000607| | |10|24
раді|R-|---------n|раді|559|ради|5000607|| |10|24
ӣ|C-|---------n|і|13|и|5000607|| |10|24
въи|Pp|2p---pn--i|въі|266|вꙑ|5000607|| |10|24
бѫдѣте|V-|2ppma----i|бѫдѣте|18|бꙑти|5000607|| |10|24
готови|A-|-p---mnpsi|готові|1717|готовъ|5000607|| · |10|24
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000607|| |10|24
въ|R-|---------n|въ|111|въ|5000607|| |10|24
ньже|Pr|-s---ma--i|ньже|96|иже|5000607|| |10|24
не|Df|---------n|не|8|не|5000607|| |10|24
мъните|V-|2ppia----i|мъніте|166|мьнѣти|5000607|| |10|24
чась|Nb|-s---ma--i|чась|422|часъ|5000607|| · |10|24
с҃нъ|Nb|-s---mn--i|снъ|341|сꙑнъ#1|5000607|| |10|24
ч҃лчь|A-|-s---mnpsi|члчь|56|чловѣчь|5000607|| |10|24
придетъ|V-|3spia----i|прідетъ|221|прити|5000607|| ·|10|24
Кт̄о|Pi|-s---pn--i|кто|265|къто|5000608| | |10|24
ѹ̄бо|Df|---------n|оубо|6|оубо|5000608|| |10|24
е̄стъ|V-|3spia----i|естъ|18|бꙑти|5000608|| |10|24
вѣрънъиі̄|A-|-s---mnpwi|вѣрънъіі|1864|вѣрьнъ|5000608|| |10|24
рабь|Nb|-s---mn--i|рабь|510|рабъ|5000608|| |10|24
и|C-|---------n|і|13|и|5000608|| |10|24
мѫдръі|A-|-s---mnpwi|мѫдръі|907|мѫдръ|5000608|| · |10|24
Е̄гоже|Pr|-s---mg--i|егоже|96|иже|5000608|| |10|24
поставитъ|V-|3spia----i|поставітъ|569|поставити|5000608|| |10|24
г҃нъ|Nb|-s---mn--i|гнъ|1097|господинъ|5000608|| |10|24
надъ|R-|---------n|надъ|400|надъ|5000608|| |10|24
домомъ|Nb|-s---mi--i|домомъ|374|домъ|5000608|| |10|24
своӣмъ|Pt|3s---oi--i|своімъ|217|свои|5000608|| · |10|24
да|G-|---------n|да|366|да|5000608|| |10|24
дастъ|V-|3saia----i|дастъ|116|дати|5000608|| |10|24
ӣмъ|Pp|3p---md--i|імъ|64|и|5000608|| |10|24
въ|R-|---------n|въ|111|въ|5000608|| |10|24
врѣмѧ|Nb|-s---na--i|врѣмѧ|268|врѣмѧ|5000608|| |10|24
піщѫ|Nb|-s---fa--i|піштѫ|619|пища|5000608|| ·|10|24
Блаженъ|A-|-s---mnpsi|блаженъ|525|блаженъ|5000609| | |10|24
рабьт|V-|-supamn-si|рабьт|0|FIXME|5000609|| · |10|24
е̄гоже|Pr|-s---mg--i|егоже|96|иже|5000609|| |10|24
прішедь|V-|-supamn-si|прішедь|221|прити|5000609|| |10|24
г҃ь|Nb|-s---mn--i|гь|342|господь|5000609|| |10|24
своӣ|Pt|3s---mn--i|своі|217|свои|5000609|| · |10|24
о̄брѧштетъ|V-|3spia----i|обрѧштетъ|225|обрѣсти|5000609|| |10|24
тако|Df|---------n|тако|48|тако|5000609|| |10|24
творѧшта|V-|-sppamg-si|творѧшта|636|творити|5000609|| ·|10|24
А̄ми$н@|I-|---------n|амін|298|аминъ|5000610| | |10|24
г҃лѭ|V-|1spia----i|глѭ|102|глаголати|5000610|| |10|24
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ|5000610|| · |10|24
ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000610|| |10|24
надъ|R-|---------n|надъ|400|надъ|5000610|| |10|24
въсѣмъ|Px|-p---md--i|въсѣмъ|54|вьсь|5000610|| |10|24
ӣмѣніе̄мъ|Nb|-s---ni--i|імѣніемъ|1376|имѣниѥ|5000610|| |10|24
поставітъ|V-|3spia----i|поставітъ|569|поставити|5000610|| |10|24
і|C-|---------n|і|13|и|5000610|| ⁛|10|24
поставитъ|V-|3spia----i|поставітъ|569|поставити|5000611| | |10|24
ӣ|C-|---------n|і|13|и|5000611|| ·: —|10|24
А̄ште|G-|---------n|аште|248|аще|5000612| | |10|24
ли|Df|---------n|лі|249|ли|5000612|| |10|24
речет|V-|3spia----i|речет|106|рещи|5000612|| |10|24
зьлъи|Nb|-p---ma--i|зьлъі|608|зъль|5000612|| |10|24
работ|V-|-s---mn--i|работ|811|работати|5000612|| · |10|24
въ|R-|---------n|въ|111|въ|5000612|| |10|24
ср$д@ци|Nb|-s---nl--i|срдці|445|срьдьце|5000612|| |10|24
свое̄мъ|Pt|3s---nl--i|своемъ|217|свои|5000612|| · |10|24
мѹдітъ|V-|3spia----i|моудітъ|6271|мѫдити|5000612|| |10|24
г҃нъ|Nb|-s---mn--i|гнъ|1097|господинъ|5000612|| |10|24
моӣ|Ps|1s---mn--i|моі|446|мои|5000612|| |10|24
приті|V-|--pna----i|пріті|221|прити|5000612|| ·|10|24
ӣ|C-|---------n|і|13|и|5000613| | |10|24
начьнет|V-|3spia----i|начьнет|82|начѧти|5000613|| |10|24
біті|V-|--pna----i|біті|1702|бити|5000613|| |10|24
клеврѣтъи|Nb|-p---ma--i|клеврѣтъі|1576|клеврѣтъ|5000613|| |10|24
своѩ̄|Pt|3p---pa--i|своѧ|217|свои|5000613|| · |10|24
Ѣ̄сти|V-|--pna----i|ѣсті|815|ꙗсти|5000613|| |10|24
же|Df|---------n|же|20|же|5000613|| |10|24
и|C-|---------n|і|13|и|5000613||҅ |10|24
піті|V-|--pna----i|піті|365|пити|5000613|| |10|24
съ|R-|---------n|съ|92|съ|5000613|| |10|24
пиѣ̄ницамі|Nb|-p---mi--i|піѣніцамі|1866|пиꙗница|5000613|| ·|10|24
Придетъ|V-|3spia----i|прідетъ|221|прити|5000614| | |10|24
же|Df|---------n|же|20|же|5000614|| |10|24
г҃нъ|Nb|-s---mn--i|гнъ|1097|господинъ|5000614|| |10|24
раба|Nb|-s---mg--i|раба|2438|раба|5000614|| |10|24
того|Pd|-s---og--i|того|105|тъ|5000614|| · |10|24
въ|R-|---------n|въ|111|въ|5000614|| |10|24
де$н@|A-|-s---mnpsi|ден|0|FIXME|5000614|| |10|24
въ|R-|---------n|въ|111|въ|5000614|| |10|24
ньже|Pr|-s---ma--i|ньже|96|иже|5000614|| |10|24
не|Df|---------n|не|8|не|5000614|| |10|24
чѣе̄тъ|V-|3spia----i|чѣетъ|0|FIXME|5000614|| · |10|24
ӣ|C-|---------n|і|13|и|5000614|| |10|24
въ|R-|---------n|въ|111|въ|5000614|| |10|24
часъ|Nb|-s---ma--i|часъ|422|часъ|5000614|| |10|24
въ|R-|---------n|въ|111|въ|5000614|| |10|24
ньже|Pr|-s---ma--i|ньже|96|иже|5000614|| |10|24
не|Df|---------n|не|8|не|5000614|| |10|24
вѣстъ|V-|3spia----i|вѣстъ|138|вѣдѣти|5000614|| ·|10|24
И|C-|---------n|і|13|и|5000615| |҅ |10|24
протешетъ|V-|3spia----i|протешетъ|1867|протесати|5000615|| |10|24
и|C-|3s---ma--i|і|13|и|5000615|| |10|24
полъма|Nb|-d---mi--i|полъма|983|полъ#1|5000615|| · |10|24
Ӣ|C-|---------n|і|13|и|5000615|| |10|24
чѧсть|Nb|-s---fa--i|чѧсть|1868|чѧсть|5000615|| |10|24
е̄го|Pp|3s---mg--i|его|64|и|5000615|| |10|24
съ|R-|---------n|съ|92|съ|5000615|| |10|24
ѵ̄̄покрітъи|Nb|-p---mi--i|упокрітъі|759|ѵпокритъ|5000615|| |10|24
положіт|V-|3spia----i|положіт|1258|положити|5000615|| · |10|24
тѹ|Df|---------n|тоу|177|тоу|5000615|| |10|24
бѫдетъ|V-|3sfia----i|бѫдетъ|18|бꙑти|5000615|| |10|24
пл$а@чь|Nb|-s---mn--i|плачь|963|плачь|5000615|| |10|24
и|C-|---------n|і|13|и|5000615||҅ |10|24
скръжьть|V-|-s---ma--i|скръжьть|2258|скрьжьтати|5000615|| |10|24
зѫбомъ|Nb|-p---md--i|зѫбомъ|724|зѫбъ|5000615|| ⁛|10|24
Тогда|Df|---------n|тогда|670|тъгда|5000616| | |10|25
ѹ̄подобітъ|V-|3spia----i|оуподобітъ|631|оуподобити|5000616|| |10|25
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000616|| |10|25
ц҃рство|Nb|-s---nn--i|црство|621|цѣсарьство|5000616|| |10|25
н҃бсное̄|A-|-s---nnpwi|нбсное|399|небесьнъ|5000616|| · |10|25
ꙇ҄ти|V-|--pna----i|іті|668|ити|5000616|| |10|25
дѣвъ|Nb|-p---fg--i|дѣвъ|663|дѣва|5000616|| · |10|25
Ѩ̄же|Pr|-p---fn--i|ѧже|96|иже|5000616|| |10|25
прие̄мъшѧ|V-|-pupafn-si|пріемъшѧ|165|приѩти|5000616|| |10|25
свѣтилъникъі|Nb|-p---mi--i|свѣтілънікъі|802|свѣтильникъ|5000616|| · |10|25
Ӣзідѫ|V-|3paia----i|ізідѫ|681|изити|5000616|| |10|25
протівѫ|R-|---------n|протівѫ|1023|противѫ|5000616|| |10|25
женіхѹ|Nb|-s---md--i|женіхоу|1049|женихъ|5000616|| |10|25
ӣ|C-|---------n|і|13|и|5000616|| |10|25
невѣстѣ|Nb|-s---fd--i|невѣстѣ|1168|невѣста|5000616|| ·|10|25
ѹ̄подоби|V-|3saia----i|оуподобі|631|оуподобити|5000617| | |10|25
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000617|| |10|25
ц҃рство|Nb|-s---nn--i|црство|621|цѣсарьство|5000617|| |10|25
н҃бное̄|A-|-s---nnpwi|нбное|0|FIXME|5000617|| |10|25
ꙇ̄|C-|---------n|і|13|и|5000617|| |10|25
дѣвъ|Nb|-p---fg--i|дѣвъ|663|дѣва|5000617|| ⁛ коц ·|10|25
д҄|Ma|---------n|д|639|пѧть|5000618| | |10|25
же|Df|---------n|же|20|же|5000618|| |10|25
бѣ|V-|3siia----i|бѣ|18|бꙑти|5000618|| |10|25
о҅тъ|R-|---------n|отъ|80|отъ|5000618|| |10|25
нихъ|Pp|3p---fg--i|ніхъ|64|и|5000618|| |10|25
бѹӣ|A-|-p---qgpsi|боуі|917|боуи|5000618|| · |10|25
ӣ|C-|---------n|і|13|и|5000618|| |10|25
пѧть|Ma|-s---fn--i|пѧть|639|пѧть|5000618|| |10|25
мѫдръ|A-|-p---qgpsi|мѫдръ|907|мѫдръ|5000618|| ·|10|25
Бѹѩ̄|A-|-p---fnpsi|боуѧ|917|боуи|5000619| | |10|25
бо|Df|---------n|бо|94|бо|5000619|| |10|25
прие̄мъшѧ|V-|-pupafn-si|пріемъшѧ|165|приѩти|5000619|| |10|25
свѣтилъникъи|Nb|-p---mi--i|свѣтілънікъі|802|свѣтильникъ|5000619|| |10|25
своѩ̄|Pt|3p---pa--i|своѧ|217|свои|5000619|| · |10|25
не|Df|---------n|не|8|не|5000619|| |10|25
възѧшѧ|V-|3paia----i|възѧшѧ|605|възѧти|5000619|| |10|25
съ|R-|---------n|съ|92|съ|5000619|| |10|25
собоѭ̄|Pk|3s---qi--i|собоѭ|21|себе|5000619|| |10|25
о̄лѣа̄|Nb|-s---mg--i|олѣа|1870|олѣи|5000619|| ·|10|25
а̄|C-|---------n|а|85|а|5000620| | |10|25
мѫдръиѩ|A-|-p---fnpwi|мѫдръіѧ|907|мѫдръ|5000620|| |10|25
приѩ̄сѧ|V-|3paia----i|пріѧсѧ|165|приѩти|5000620|| |10|25
сь|R-|---------n|сь|92|съ|5000620|| |10|25
собоѭ̄|Pk|3s---qi--i|собоѭ|21|себе|5000620|| |10|25
о̄лѣӣ|Nb|-s---mn--i|олѣі|1870|олѣи|5000620|| · |10|25
въ|R-|---------n|въ|111|въ|5000620|| |10|25
съсѫдѣхъ|Nb|-p---ml--i|съсѫдѣхъ|1273|съсѫдъ|5000620|| |10|25
съ|R-|---------n|съ|92|съ|5000620|| |10|25
свѣтільнікъі|Nb|-p---mi--i|свѣтільнікъі|802|свѣтильникъ|5000620|| |10|25
своӣмі|Pt|3p---qi--i|своімі|217|свои|5000620|| ·|10|25
мѹдѧштѹ|V-|-sppamd-si|моудѧштоу|6271|мѫдити|5000621| | |10|25
же|Df|---------n|же|20|же|5000621|| |10|25
женіхѹ|Nb|-s---md--i|женіхоу|1049|женихъ|5000621|| · |10|25
въздрѣмаш$с@ѧ|V-|3paia----i|въздрѣмашсѧ|1871|въздрѣмати|5000621|| |10|25
вс̄ѧ|Px|-p---fn--i|всѧ|54|вьсь|5000621|| |10|25
ӣ|C-|---------n|і|13|и|5000621|| |10|25
съпаа̄хѫ|V-|3piia----i|съпаахѫ|477|съпати|5000621|| ·|10|25
Полѹ|Nb|-s---ml--i|полоу|983|полъ#1|5000622| | |10|25
нощі|Nb|-s---fg--i|ношті|1289|нощь|5000622|| |10|25
же|Df|---------n|же|20|же|5000622|| |10|25
вьпль|Nb|-s---mn--i|вьпль|1872|въпль|5000622|| |10|25
бъістъ|V-|3saia----i|бъістъ|18|бꙑти|5000622|| · |10|25
Се|I-|---------n|се|419|се|5000622|| |10|25
женихъ|Nb|-s---mn--i|женіхъ|1049|женихъ|5000622|| |10|25
грѧде$т@|V-|2ppma----i|грѧдет|955|грѧсти|5000622|| · |10|25
ӣсходіте|V-|2ppma----i|ісходіте|1010|исходити|5000622|| |10|25
въ|R-|---------n|въ|111|въ|5000622|| |10|25
сьрѣтеніе|Nb|-s---na--i|сьрѣтеніе|1873|сърѣтениѥ|5000622|| |10|25
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000622|| ·|10|25
тогда|Df|---------n|тогда|670|тъгда|5000623| | |10|25
въсташѧ|V-|3paia----i|въсташѧ|972|въстати|5000623|| |10|25
дѣвъи|Nb|-p---fn--i|дѣвъі|663|дѣва|5000623|| |10|25
тъи|Pp|2p---fn--i|тъі|304|тꙑ|5000623|| · |10|25
ӣ|C-|---------n|і|13|и|5000623|| |10|25
ѹ҅красішѧ|V-|3paia----i|оукрасішѧ|1296|оукрасити|5000623|| |10|25
свѣтільнікъі|Nb|-p---ma--i|свѣтільнікъі|802|свѣтильникъ|5000623|| |10|25
своѩ̄|Pt|3p---ma--i|своѧ|217|свои|5000623|| ·|10|25
а̄|C-|---------n|а|85|а|5000624| | |10|25
бѹѩ̄|A-|-p---fnpsi|боуѧ|917|боуи|5000624|| |10|25
рѣшѧ|V-|3paia----i|рѣшѧ|106|рещи|5000624|| |10|25
кь|R-|---------n|кь|59|къ|5000624|| |10|25
мѫдръиӣмъ|A-|-p---fdpwi|мѫдръіімъ|907|мѫдръ|5000624|| · |10|25
дадите|V-|2ppma----i|дадіте|116|дати|5000624|| |10|25
ӣ|C-|---------n|і|13|и|5000624|| |10|25
намъ|Pp|1p---fd--i|намъ|167|мꙑ|5000624|| |10|25
о$т@|R-|---------n|от|80|отъ|5000624|| |10|25
о̄лѣа|Nb|-s---mg--i|олѣа|1870|олѣи|5000624||҅ |10|25
вашего|Ps|2s---og--i|вашего|720|вашь|5000624|| · |10|25
ѣ̄ко|G-|---------n|ѣко|115|ꙗко|5000624|| |10|25
свѣтільници|Nb|-p---mn--i|свѣтільніці|802|свѣтильникъ|5000624|| |10|25
наши|Ps|1p---mn--i|наші|338|нашь|5000624|| |10|25
ѹ̄гасаѭ̄тъ|V-|3ppia----i|оугасаѭтъ|1874|оугасати|5000624|| ·|10|25
Ѡ҅̄тъвѣщашѧ|V-|3paia----i|отъвѣшташѧ|271|отъвѣщати|5000625| | |10|25
же|Df|---------n|же|20|же|5000625|| |10|25
мѫдръиѩ̄|A-|-p---fnpwi|мѫдръіѧ|907|мѫдръ|5000625|| |10|25
г҃лштѧ|V-|-pppafn-si|глштѧ|102|глаголати|5000625|| · |10|25
Е̄да|Du|---------n|еда|866|еда|5000625|| |10|25
како|Du|---------n|како|30|како|5000625|| |10|25
не|Df|---------n|не|8|не|5000625|| |10|25
достанетъ|V-|3spia----i|достанетъ|616|достоꙗти|5000625|| |10|25
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ|5000625|| |10|25
ӣ|C-|---------n|і|13|и|5000625|| |10|25
нам|Pp|1p---md--i|нам|167|мꙑ|5000625|| · |10|25
